frag_ID,species_long,species,Frag_type,weight,weight_wWax
B05,Montipora vietnamensis,Mvie,physio,3.0591,3.4663
B06,Montipora vietnamensis,Mvie,physio,,
B07,Montipora vietnamensis,Mvie,physio,,
B08,Montipora vietnamensis,Mvie,physio,,
B09,Montipora vietnamensis,Mvie,physio,,
B10,Montipora vietnamensis,Mvie,physio,,
C01,Favites complanata,Fcom,physio,13.6892,15.0603
C02,Favites complanata,Fcom,physio,11.2386,12.1263
C03,Favites complanata,Fcom,physio,29.1505,30.3006
C04,Favites complanata,Fcom,physio,12.1506,12.7121
C05,Favites complanata,Fcom,physio,21.3897,22.7062
C06,Favites complanata,Fcom,physio,,
C07,Favites complanata,Fcom,physio,,
C08,Favites complanata,Fcom,physio,,
C09,Favites complanata,Fcom,physio,,
C10,Favites complanata,Fcom,physio,,
D01,Porites rus,Prus,physio,8.9063,9.5115
D02,Porites rus,Prus,physio,8.1923,8.9681
D03,Porites rus,Prus,physio,6.7667,7.14
D04,Porites rus,Prus,physio,12.3894,12.8509
D05,Porites rus,Prus,physio,6.8514,7.3577
D06,Porites rus,Prus,physio,,
D07,Porites rus,Prus,physio,,
D08,Porites rus,Prus,physio,,
D09,Porites rus,Prus,physio,,
D10,Porites rus,Prus,physio,,
E01,Pocillopora eydouxi,Peyd,physio,15.7496,16.8082
E02,Pocillopora eydouxi,Peyd,physio,26.8016,28.2571
E03,Pocillopora eydouxi,Peyd,physio,14.336,15.4165
E04,Pocillopora eydouxi,Peyd,physio,17.9084,18.9212
E05,Pocillopora eydouxi,Peyd,physio,11.8983,12.562
E06,Pocillopora eydouxi,Peyd,physio,,
E07,Pocillopora eydouxi,Peyd,physio,,
E08,Pocillopora eydouxi,Peyd,physio,,
E09,Pocillopora eydouxi,Peyd,physio,,
E10,Pocillopora eydouxi,Peyd,physio,,
F01,Pachyseris rugosa,Prug,physio,4.1939,5.0119
F02,Pachyseris rugosa,Prug,physio,4.0402,6.614
F03,Pachyseris rugosa,Prug,physio,9.4628,9.938
F04,Pachyseris rugosa,Prug,physio,9.7315,10.3752
F05,Pachyseris rugosa,Prug,physio,7.1679,7.6771
F06,Pachyseris rugosa,Prug,physio,,
F07,Pachyseris rugosa,Prug,physio,,
F08,Pachyseris rugosa,Prug,physio,,
F09,Pachyseris rugosa,Prug,physio,,
F10,Pachyseris rugosa,Prug,physio,,
G01,Echinopora lamellosa,Elam,physio,9.6595,
G02,Echinopora lamellosa,Elam,physio,10.4419,
G03,Echinopora lamellosa,Elam,physio,6.8588,
G04,Echinopora lamellosa,Elam,physio,7.956,
G05,Echinopora lamellosa,Elam,physio,11.7158,
G06,Echinopora lamellosa,Elam,physio,,
G07,Echinopora lamellosa,Elam,physio,,
G08,Echinopora lamellosa,Elam,physio,,
G09,Echinopora lamellosa,Elam,physio,,
G10,Echinopora lamellosa,Elam,physio,,
H01,Montipora aequituberculata,Maeq,physio,7.3721,
H02,Montipora aequituberculata,Maeq,physio,3.1293,
H03,Montipora aequituberculata,Maeq,physio,3.4561,
H04,Montipora aequituberculata,Maeq,physio,3.3932,
H05,Montipora aequituberculata,Maeq,physio,5.4293,
H06,Montipora aequituberculata,Maeq,physio,,
H07,Montipora aequituberculata,Maeq,physio,,
H08,Montipora aequituberculata,Maeq,physio,,
H09,Montipora aequituberculata,Maeq,physio,,
H10,Montipora aequituberculata,Maeq,physio,,
I01,Turbinaria frondens,Tfro,physio,10.9943,
I02,Turbinaria frondens,Tfro,physio,9.0377,
I03,Turbinaria frondens,Tfro,physio,5.9757,
I04,Turbinaria frondens,Tfro,physio,5.041,
I05,Turbinaria frondens,Tfro,physio,4.5092,
I06,Turbinaria frondens,Tfro,physio,,
I07,Turbinaria frondens,Tfro,physio,,
I08,Turbinaria frondens,Tfro,physio,,
I09,Turbinaria frondens,Tfro,physio,,
I10,Turbinaria frondens,Tfro,physio,,
J01,Acropora hyacinthus,Ahya,physio,4.2696,
J02,Acropora hyacinthus,Ahya,physio,6.9312,
J03,Acropora hyacinthus,Ahya,physio,6.165,
J04,Acropora hyacinthus,Ahya,physio,11.9696,
J05,Acropora hyacinthus,Ahya,physio,17.6301,
J06,Acropora hyacinthus,Ahya,physio,,
J07,Acropora hyacinthus,Ahya,physio,,
J08,Acropora hyacinthus,Ahya,physio,,
J09,Acropora hyacinthus,Ahya,physio,,
J10,Acropora hyacinthus,Ahya,physio,,
