frag_ID,rmax,topt,e,PR,species,full_species,dw_mg_cm2,dw_log,afdw_mg_cm2,afdw_log,chla_ug_cm2_mean,chla_log,chla_pg_sym,chla_sym_log,sym_cm2,sym_log,prot_ug_cm2,prot_log
D03,0.67,32.72,0.4,Respiration,Prus,Porites rus,138.698131435155,4.932299855241249,33.14798109771,3.5009818127474035,10.623640753506908,2.3630817775451547,8.187341697242292,2.1025892660864884,1297568.99691694,14.076003069422942,756.2885163,6.628422938692758
D03,0.73,28.49,0.53,NetPhoto,Prus,Porites rus,138.698131435155,4.932299855241249,33.14798109771,3.5009818127474035,10.623640753506908,2.3630817775451547,8.187341697242292,2.1025892660864884,1297568.99691694,14.076003069422942,756.2885163,6.628422938692758
D03,1.37,30.27,0.24,GrossPhoto,Prus,Porites rus,138.698131435155,4.932299855241249,33.14798109771,3.5009818127474035,10.623640753506908,2.3630817775451547,8.187341697242292,2.1025892660864884,1297568.99691694,14.076003069422942,756.2885163,6.628422938692758
D04,1.52,29.75,0.14,NetPhoto,Prus,Porites rus,120.634349949813,4.792764069192518,28.6391472018257,3.3547745651765504,15.863955275095671,2.7640495719432026,8.857112857091122,2.1812208488814266,1791097.79123959,14.39833928102605,1308.447728,7.176596773140159
D04,2.18,30.89,0.33,GrossPhoto,Prus,Porites rus,120.634349949813,4.792764069192518,28.6391472018257,3.3547745651765504,15.863955275095671,2.7640495719432026,8.857112857091122,2.1812208488814266,1791097.79123959,14.39833928102605,1308.447728,7.176596773140159
D05,NA,NA,NA,NA,NA,NA,111.378592134345,4.712935137880027,26.3724022754886,3.27231809502098,6.9349536898491975,1.936574376001052,5.84571385145404,1.7657087177411663,1186331.36449609,13.986376216224155,646.4957662,6.471566649389231
D06,NA,NA,NA,NA,NA,NA,122.235553741223,4.805949951566433,27.9529105687385,3.330521329018039,16.18544493802383,2.784112377764868,6.2614318824338495,1.8344088941691719,2584943.06764422,14.765214041559974,1511.973999,7.321171360163047
D07,1.05,29.34,0.15,NetPhoto,Prus,Porites rus,143.049214328969,4.963188727198401,36.9464858200647,3.6094705365131197,16.99153775738639,2.8327154411458606,7.686831656606306,2.039508690375183,2210473.51060216,14.608717308734951,2159.042525,7.677420126939636
D07,0.67,30.54,0.49,Respiration,Prus,Porites rus,143.049214328969,4.963188727198401,36.9464858200647,3.6094705365131197,16.99153775738639,2.8327154411458606,7.686831656606306,2.039508690375183,2210473.51060216,14.608717308734951,2159.042525,7.677420126939636
D07,1.7,29.76,0.34,GrossPhoto,Prus,Porites rus,143.049214328969,4.963188727198401,36.9464858200647,3.6094705365131197,16.99153775738639,2.8327154411458606,7.686831656606306,2.039508690375183,2210473.51060216,14.608717308734951,2159.042525,7.677420126939636
D08,NA,NA,NA,NA,NA,NA,158.067325898488,5.063021055548054,36.0912237926113,3.586049727545323,10.512150921044045,2.3525318186639317,6.008636856101654,1.7931979101925652,1749506.7804554,14.374844466435642,1286.698718,7.159835083843204
D09,NA,NA,NA,NA,NA,NA,236.560738345129,5.466204996714229,55.0266711772021,4.00781799818626,21.80779719523774,3.0822675753528714,6.433519632383152,1.8615217652249698,3389714.87480478,15.036256368092177,2570.706893,7.851936195710421
D10,NA,NA,NA,NA,NA,NA,317.611603558977,5.760829263840907,72.4718666620023,4.283198440509933,29.299918760404356,3.3775847433367328,5.238240048989595,1.6559855734030529,NA,NA,3854.508155,8.25699869160599
E01,1.28,30.84,0.38,GrossPhoto,Peyd,Pocillopora eydouxi,57.5856097110598,4.053272705083569,12.9214301494236,2.5588871849083183,7.481003787088495,2.0123669791177154,3.5214521766289377,1.258873454713254,2124408.74158058,14.569004082368734,NA,NA
E01,0.72,29.15,0.36,NetPhoto,Peyd,Pocillopora eydouxi,57.5856097110598,4.053272705083569,12.9214301494236,2.5588871849083183,7.481003787088495,2.0123669791177154,3.5214521766289377,1.258873454713254,2124408.74158058,14.569004082368734,NA,NA
E02,0.81,27.53,-0.27,NetPhoto,Peyd,Pocillopora eydouxi,43.398607782647,3.770427361850973,10.0716892386868,2.309728442283407,4.3349387473625995,1.4667074803431976,4.233754947988585,1.443089293850333,1023899.30466384,13.83912874445714,533.9563144,6.280314027374018
E02,1.32,29.84,0.18,GrossPhoto,Peyd,Pocillopora eydouxi,43.398607782647,3.770427361850973,10.0716892386868,2.309728442283407,4.3349387473625995,1.4667074803431976,4.233754947988585,1.443089293850333,1023899.30466384,13.83912874445714,533.9563144,6.280314027374018
E03,1.22,30.2,0.24,GrossPhoto,Peyd,Pocillopora eydouxi,56.3023642808788,4.03073652859568,12.7269325593852,2.543720421976871,5.159984984546712,1.64093366951767,4.230023389434074,1.4422075224599382,1219847.86122827,14.014236705022006,621.9105888,6.432796334496491
E03,0.72,28.69,0.04,NetPhoto,Peyd,Pocillopora eydouxi,56.3023642808788,4.03073652859568,12.7269325593852,2.543720421976871,5.159984984546712,1.64093366951767,4.230023389434074,1.4422075224599382,1219847.86122827,14.014236705022006,621.9105888,6.432796334496491
