frag_ID,species_long,species,rep,image_no,image_id
E01,Pocillopora eydouxi,Peyd,3,1,P8174627
E01,Pocillopora eydouxi,Peyd,3,2,P8174628
E01,Pocillopora eydouxi,Peyd,4,1,P8174629
E01,Pocillopora eydouxi,Peyd,4,2,P8174630
E01,Pocillopora eydouxi,Peyd,5,1,P8174631
E01,Pocillopora eydouxi,Peyd,5,2,P8174632
E01,Pocillopora eydouxi,Peyd,6,1,P8174633
E01,Pocillopora eydouxi,Peyd,6,2,P8174634
E02,Pocillopora eydouxi,Peyd,1,1,P8174636
E02,Pocillopora eydouxi,Peyd,1,2,P8174637
E02,Pocillopora eydouxi,Peyd,2,1,P8174638
E02,Pocillopora eydouxi,Peyd,2,2,P8174639
E02,Pocillopora eydouxi,Peyd,3,1,P8174640
E02,Pocillopora eydouxi,Peyd,3,2,P8174641
E02,Pocillopora eydouxi,Peyd,4,1,P8174642
E02,Pocillopora eydouxi,Peyd,4,2,P8174643
E02,Pocillopora eydouxi,Peyd,5,1,P8174644
E02,Pocillopora eydouxi,Peyd,5,2,P8174645
E02,Pocillopora eydouxi,Peyd,6,1,P8174646
E02,Pocillopora eydouxi,Peyd,6,2,P8174647
E03,Pocillopora eydouxi,Peyd,1,1,P8174649
E03,Pocillopora eydouxi,Peyd,1,2,P8174650
E03,Pocillopora eydouxi,Peyd,2,1,P8174651
E03,Pocillopora eydouxi,Peyd,2,2,P8174652
E03,Pocillopora eydouxi,Peyd,3,1,P8174653
E03,Pocillopora eydouxi,Peyd,3,2,P8174654
E03,Pocillopora eydouxi,Peyd,4,1,P8174655
E03,Pocillopora eydouxi,Peyd,4,2,P8174656
E03,Pocillopora eydouxi,Peyd,5,1,P8174657
E03,Pocillopora eydouxi,Peyd,5,2,P8174658
E03,Pocillopora eydouxi,Peyd,6,1,P8174659
E03,Pocillopora eydouxi,Peyd,6,2,P8174660
E04,Pocillopora eydouxi,Peyd,1,1,P8174662
E04,Pocillopora eydouxi,Peyd,1,2,P8174663
E04,Pocillopora eydouxi,Peyd,2,1,P8174664
E04,Pocillopora eydouxi,Peyd,2,2,P8174665
E04,Pocillopora eydouxi,Peyd,3,1,P8174666
E04,Pocillopora eydouxi,Peyd,3,2,P8174667
E04,Pocillopora eydouxi,Peyd,4,1,P8174668
E04,Pocillopora eydouxi,Peyd,4,2,P8174669
E04,Pocillopora eydouxi,Peyd,5,1,P8174670
E04,Pocillopora eydouxi,Peyd,5,2,P8174671
E04,Pocillopora eydouxi,Peyd,6,1,P8174672
E04,Pocillopora eydouxi,Peyd,6,2,P8174673
E05,Pocillopora eydouxi,Peyd,1,1,P8174675
E05,Pocillopora eydouxi,Peyd,1,2,P8174676
E05,Pocillopora eydouxi,Peyd,2,1,P8174677
E05,Pocillopora eydouxi,Peyd,2,2,P8174678
E05,Pocillopora eydouxi,Peyd,3,1,P8174679
E05,Pocillopora eydouxi,Peyd,3,2,P8174680
E05,Pocillopora eydouxi,Peyd,4,1,P8174681
E05,Pocillopora eydouxi,Peyd,4,2,P8174682
E05,Pocillopora eydouxi,Peyd,5,1,P8174683
E05,Pocillopora eydouxi,Peyd,5,2,P8174684
E05,Pocillopora eydouxi,Peyd,6,1,P8174685
E05,Pocillopora eydouxi,Peyd,6,2,P8174686
E06,Pocillopora eydouxi,Peyd,1,1,P8174688
E06,Pocillopora eydouxi,Peyd,1,2,P8174689
E06,Pocillopora eydouxi,Peyd,2,1,P8174690
E06,Pocillopora eydouxi,Peyd,2,2,P8174691
E06,Pocillopora eydouxi,Peyd,3,1,P8174692
E06,Pocillopora eydouxi,Peyd,3,2,P8174693
E06,Pocillopora eydouxi,Peyd,4,1,P8174694
E06,Pocillopora eydouxi,Peyd,4,2,P8174695
E06,Pocillopora eydouxi,Peyd,5,1,P8174696
E06,Pocillopora eydouxi,Peyd,5,2,P8174697
E06,Pocillopora eydouxi,Peyd,6,1,P8174698
E06,Pocillopora eydouxi,Peyd,6,2,P8174699
E07,Pocillopora eydouxi,Peyd,1,1,P8174701
E07,Pocillopora eydouxi,Peyd,1,2,P8174702
E07,Pocillopora eydouxi,Peyd,2,1,P8174703
