frag_ID,mean_abs,mean_abs_adj,prot_ug_mL,Run,Slurry_vol_ml,prot_ug_total,prot_ug_cm2,full_species,species,blastate_vol_mL,morphology,stress,SA_cm2
H03,0.311533333,0.2212,247.5001393,RUN4,50,12375.00696,659.5664225,Montipora aequituberculata,Maeq,50,plating,sensitive,18.7623362
H04,0.658366667,0.568033333,688.9334484,RUN4,50,34446.67242,1331.850277,Montipora aequituberculata,Maeq,50,plating,sensitive,25.86377239
H05,0.828833333,0.7385,905.8954803,RUN4,50,45294.77402,1389.20939,Montipora aequituberculata,Maeq,50,plating,sensitive,32.6047134
H06,1.289366667,1.199033333,1492.040853,RUN4,50,74602.04263,1876.591969,Montipora aequituberculata,Maeq,50,plating,sensitive,39.75400293
H07,0.7832,0.692866667,847.8154995,RUN4,50,42390.77498,1176.403845,Montipora aequituberculata,Maeq,50,plating,sensitive,36.03420302
H08,0.9679,0.877566667,1082.893055,RUN4,50,54144.65275,1295.953066,Montipora aequituberculata,Maeq,50,plating,sensitive,41.77979448
H09,0.629633333,0.5393,652.3630003,RUN4,50,32618.15001,1139.184857,Montipora aequituberculata,Maeq,50,plating,sensitive,28.63288588
H10,0.636166667,0.545833333,660.6783226,RUN4,50,33033.91613,883.8719621,Montipora aequituberculata,Maeq,50,plating,sensitive,37.37409664
I01,0.8689,0.778566667,956.8904671,RUN4,50,47844.52335,2054.641194,Turbinaria frondens,Tfro,50,plating,sensitive,23.28607228
I02,0.5276,0.437266667,522.4997269,RUN4,50,26124.98635,1818.098717,Turbinaria frondens,Tfro,50,plating,sensitive,14.36939925
I03,0.912,0.821666667,1011.746139,RUN4,50,50587.30696,2436.836739,Turbinaria frondens,Tfro,50,plating,sensitive,20.75941574
I04,0.6703,0.579966667,704.1216391,RUN4,50,35206.08195,1276.502487,Turbinaria frondens,Tfro,50,plating,sensitive,27.58011232
I05,0.870333333,0.78,958.714747,RUN4,50,47935.73735,1912.6077,Turbinaria frondens,Tfro,50,plating,sensitive,25.06302644
I06,1.0519,0.961566667,1189.804342,RUN4,50,59490.21709,2017.665662,Turbinaria frondens,Tfro,50,plating,sensitive,29.48467539
I07,0.5503,0.459966667,551.3912294,RUN4,50,27569.56147,1798.446152,Turbinaria frondens,Tfro,50,plating,sensitive,15.32965635
I08,0.774566667,0.684233333,836.8273951,RUN4,50,41841.36975,2670.529136,Turbinaria frondens,Tfro,50,plating,sensitive,15.66781998
A01,0.3196,0.224233333,270.8493745,RUN5,50,13542.46872,1065.456628,Porites cylindrica,Pcyl,50,branching,tolerant,12.71048334
A02,0.338833333,0.243466667,296.4597858,RUN5,50,14822.98929,1199.313787,Porites cylindrica,Pcyl,50,branching,tolerant,12.35955882
A03,0.3191,0.223733333,270.1835925,RUN5,50,13509.17963,1161.361872,Porites cylindrica,Pcyl,50,branching,tolerant,11.632188
A04,0.395133333,0.299766667,371.4268306,RUN5,50,18571.34153,1318.176605,Porites cylindrica,Pcyl,50,branching,tolerant,14.08865964
A05,0.438533333,0.343166667,429.2167017,RUN5,50,21460.83509,1205.95631,Porites cylindrica,Pcyl,50,branching,tolerant,17.79569866
A06,0.9021,0.806733333,1046.485317,RUN5,50,52324.26587,2247.635674,Porites cylindrica,Pcyl,50,branching,tolerant,23.27969184
A07,0.5643,0.468933333,596.6830487,RUN5,50,29834.15243,1136.410148,Porites cylindrica,Pcyl,50,branching,tolerant,26.25297959
A08,1.080266667,0.9849,1283.72561,RUN5,50,64186.28051,2118.486186,Porites cylindrica,Pcyl,50,branching,tolerant,30.29818223
A09,0.5232,0.427833333,541.9557744,RUN5,50,27097.78872,1766.935557,Porites cylindrica,Pcyl,50,branching,tolerant,15.3360368
A10,0.504333333,0.408966667,516.8336031,RUN5,50,25841.68016,1694.901997,Porites cylindrica,Pcyl,50,branching,tolerant,15.24671055
B01,0.5569,0.461533333,586.8294762,RUN5,50,29341.47381,1362.12089,Montipora vietnamensis,Mvie,50,branching,tolerant,21.54102035
I09,1.0139,0.918533333,1195.354156,RUN5,50,59767.70779,2313.434027,Turbinaria frondens,Tfro,50,plating,sensitive,25.83506039
I10,1.097333333,1.001966667,1306.450966,RUN5,50,65322.54832,3713.296635,Turbinaria frondens,Tfro,50,plating,sensitive,17.59152439
J01,0.492866667,0.3975,501.5650043,RUN5,50,25078.25021,806.8990414,Acropora hyacinthus,Ahya,50,tabular,sensitive,31.07978685
J02,1.005366667,0.91,1183.991478,RUN5,50,59199.57389,1384.797591,Acropora hyacinthus,Ahya,50,tabular,sensitive,42.74962224
J03,0.8272,0.731833333,946.751185,RUN5,50,47337.55925,1113.470034,Acropora hyacinthus,Ahya,50,tabular,sensitive,42.51354575
J04,0.915266667,0.8199,1064.017575,RUN5,50,53200.87874,1019.129941,Acropora hyacinthus,Ahya,50,tabular,sensitive,52.20225272
J05,0.716766667,0.6214,799.7021504,RUN5,50,39985.10752,755.4846419,Acropora hyacinthus,Ahya,50,tabular,sensitive,52.92643332
J06,0.316233333,0.220866667,266.3664428,RUN5,50,13318.32214,953.3092172,Acropora hyacinthus,Ahya,50,tabular,sensitive,13.97062139
J07,0.8683,0.772933333,1001.478459,RUN5,50,50073.92296,1504.866545,Acropora hyacinthus,Ahya,50,tabular,sensitive,33.27466021
