"frag_ID","dw_g_mL","dw_total_g","dw_g_cm2","dw_mg_cm2","species_long","species","blastate_vol_mL","SA_cm2","growth_form"
"E10",0.0432,2.16,0.0401126066796492,40.1126066796492,"Pocillopora eydouxi","Peyd",50,53.84840774,"branching"
"G01",0.0434333333333333,2.17166666666667,0.0449317977066695,44.9317977066694,"Echinopora lamellosa","Elam",50,48.33251233,"plating"
"G02",0.0411333333333334,2.05666666666667,0.063689524020848,63.689524020848,"Echinopora lamellosa","Elam",50,32.29207155,"plating"
"G03",0.0417,2.085,0.122591434042022,122.591434042022,"Echinopora lamellosa","Elam",50,17.0077136,"plating"
"G04",0.0428,2.14,0.0902437173488927,90.2437173488927,"Echinopora lamellosa","Elam",50,23.71356215,"plating"
"G05",0.0427,2.135,0.073146537003833,73.146537003833,"Echinopora lamellosa","Elam",50,29.18798466,"plating"
"G06",0.0434,2.17,0.0885312538833908,88.5312538833908,"Echinopora lamellosa","Elam",50,24.51111788,"plating"
"G07",0.0429666666666667,2.14833333333333,0.0593827023070553,59.3827023070553,"Echinopora lamellosa","Elam",50,36.17776305,"plating"
"G08",0.0425333333333333,2.12666666666667,0.0600601968912635,60.0601968912635,"Echinopora lamellosa","Elam",50,35.40891933,"plating"
"G09",0.0419333333333334,2.09666666666667,0.0885593206381304,88.5593206381303,"Echinopora lamellosa","Elam",50,23.67527948,"plating"
"G10",0.0412333333333334,2.06166666666667,0.0851982027343673,85.1982027343673,"Echinopora lamellosa","Elam",50,24.19847603,"plating"
"H01",0.0449666666666667,2.24833333333333,0.0526953004171323,52.6953004171323,"Montipora aequituberculata","Maeq",50,42.66667645,"plating"
"H02",0.0438333333333333,2.19166666666667,0.0854768963211855,85.4768963211855,"Montipora aequituberculata","Maeq",50,25.64045679,"plating"
"H03",0.0410333333333333,2.05166666666667,0.109350277321364,109.350277321364,"Montipora aequituberculata","Maeq",50,18.7623362,"plating"
"H04",0.0441,2.205,0.085254384656298,85.254384656298,"Montipora aequituberculata","Maeq",50,25.86377239,"plating"
"H05",0.0441,2.205,0.0676282589252878,67.6282589252878,"Montipora aequituberculata","Maeq",50,32.6047134,"plating"
"H06",0.0453666666666667,2.26833333333333,0.0570592435012766,57.0592435012766,"Montipora aequituberculata","Maeq",50,39.75400293,"plating"
"H07",0.0433333333333333,2.16666666666667,0.0601280584855479,60.1280584855479,"Montipora aequituberculata","Maeq",50,36.03420302,"plating"
"H08",0.0434666666666667,2.17333333333333,0.0520187655392539,52.0187655392539,"Montipora aequituberculata","Maeq",50,41.77979448,"plating"
"H09",0.0426333333333333,2.13166666666667,0.0744481948344449,74.4481948344449,"Montipora aequituberculata","Maeq",50,28.63288588,"plating"
"H10",0.0413333333333333,2.06666666666667,0.0552967657405476,55.2967657405476,"Montipora aequituberculata","Maeq",50,37.37409664,"plating"
"I01",0.0455666666666667,2.27833333333333,0.0978410315805021,97.8410315805021,"Turbinaria frondens","Tfro",50,23.28607228,"plating"
"I02",0.0426333333333333,2.13166666666667,0.148347653898382,148.347653898382,"Turbinaria frondens","Tfro",50,14.36939925,"plating"
"I03",0.0445,2.225,0.107180280402246,107.180280402246,"Turbinaria frondens","Tfro",50,20.75941574,"plating"
"I04",0.0443,2.215,0.0803114930896699,80.3114930896699,"Turbinaria frondens","Tfro",50,27.58011232,"plating"
"I05",0.0449333333333333,2.24666666666667,0.0896406773557498,89.6406773557498,"Turbinaria frondens","Tfro",50,25.06302644,"plating"
"I06",0.0458333333333333,2.29166666666667,0.0777239917467061,77.723991746706,"Turbinaria frondens","Tfro",50,29.48467539,"plating"
"I07",0.0433,2.165,0.141229519473214,141.229519473214,"Turbinaria frondens","Tfro",50,15.32965635,"plating"
"I08",0.0448,2.24,0.142968198693843,142.968198693843,"Turbinaria frondens","Tfro",50,15.66781998,"plating"
"I09",0.0458,2.29,0.0886392354200338,88.6392354200338,"Turbinaria frondens","Tfro",50,25.83506039,"plating"
"I10",0.0463333333333333,2.31666666666667,0.131692206730168,131.692206730168,"Turbinaria frondens","Tfro",50,17.59152439,"plating"
"J01",0.0426666666666667,2.13333333333333,0.0686405393843083,68.6405393843083,"Acropora hyacinthus","Ahya",50,31.07978685,"branching"
"J02",0.0429333333333333,2.14666666666667,0.0502148686745136,50.2148686745136,"Acropora hyacinthus","Ahya",50,42.74962224,"branching"
"J03",0.0436,2.18,0.051277774213881,51.277774213881,"Acropora hyacinthus","Ahya",50,42.51354575,"branching"
"J04",0.0368,1.84,0.0352475210192423,35.2475210192423,"Acropora hyacinthus","Ahya",50,52.20225272,"branching"
"J05",0.0437666666666667,2.18833333333333,0.0413466994857256,41.3466994857256,"Acropora hyacinthus","Ahya",50,52.92643332,"branching"
"J06",0.0409,2.045,0.146378599985809,146.378599985809,"Acropora hyacinthus","Ahya",50,13.97062139,"branching"
"J07",0.0442666666666666,2.21333333333333,0.0665170829503515,66.5170829503515,"Acropora hyacinthus","Ahya",50,33.27466021,"branching"
"J08",0.0412333333333333,2.06166666666667,0.0632631165600274,63.2631165600274,"Acropora hyacinthus","Ahya",50,32.58876228,"branching"
"J09",0.0561666666666666,2.80833333333333,0.100694773836372,100.694773836372,"Acropora hyacinthus","Ahya",50,27.88956394,"branching"
"J10",0.0444666666666666,2.22333333333333,0.0878265291846505,87.8265291846505,"Acropora hyacinthus","Ahya",50,25.31505405,"branching"
