sample_ID,SGD_number,weight_g,volume_mL,SA_cm2
Cabral_Col11_Dil4_Dark,0.05,34.0265,12,122.16146
Cabral_Col11_Dil5_Dark,0.1,25.2859,11,112.73437
Cabral_Col11_Dil6_Dark,0.5,31.4734,12,137.19792
Cabral_Col11_Dil7_Dark,1,30.6992,12,128.13542
Cabral_Col11_Dil8_Dark,2,34.7524,10,131.68229
Cabral_Col11_Dil9_Dark,4,32.691,13,140.32292
Cabral_BlankD6_Dil1_Light,0,N/A,0,0
Cabral_BlankD6_Dil2_Light,0.01,N/A,0,0
Cabral_BlankD6_Dil3_Light,0.03,N/A,0,0
Cabral_BlankD6_Dil4_Light,0.05,N/A,0,0
Cabral_BlankD6_Dil5_Light,0.1,N/A,0,0
Cabral_BlankD6_Dil6_Light,0.5,N/A,0,0
Cabral_BlankD6_Dil7_Light,1,N/A,0,0
Cabral_BlankD6_Dil8_Light,2,N/A,0,0
Cabral_BlankD6_Dil9_Light,4,N/A,0,0
Cabral_BlankD6_Dil1_Dark,0,N/A,0,0
Cabral_BlankD6_Dil2_Dark,0.01,N/A,0,0
Cabral_BlankD6_Dil3_Dark,0.03,N/A,0,0
Cabral_BlankD6_Dil4_Dark,0.05,N/A,0,0
Cabral_BlankD6_Dil5_Dark,0.1,N/A,0,0
Cabral_BlankD6_Dil6_Dark,0.5,N/A,0,0
Cabral_BlankD6_Dil7_Dark,1,N/A,0,0
Cabral_BlankD6_Dil8_Dark,2,N/A,0,0
Cabral_BlankD6_Dil9_Dark,4,N/A,0,0
Cabral_Col12_Dil1_Light,0,15.175,3,49.99479
Cabral_Col12_Dil2_Light,0.01,14.2964,1,56.42188
Cabral_Col12_Dil3_Light,0.03,30.861,11,83.47396
Cabral_Col12_Dil4_Light,0.05,30.2251,10,90.96354
Cabral_Col12_Dil5_Light,0.1,18.7057,9,57.44271
Cabral_Col12_Dil6_Light,0.5,17.5437,4,60.40104
Cabral_Col12_Dil7_Light,1,23.4845,11,107.1875
Cabral_Col12_Dil8_Light,2,38.5353,13,124.29167
Cabral_Col12_Dil9_Light,4,23.8189,11,95.29688
Cabral_Col12_Dil1_Dark,0,15.175,3,49.99479
Cabral_Col12_Dil2_Dark,0.01,14.2964,1,56.42188
Cabral_Col12_Dil3_Dark,0.03,30.861,11,83.47396
Cabral_Col12_Dil4_Dark,0.05,30.2251,10,90.96354
Cabral_Col12_Dil5_Dark,0.1,18.7057,9,57.44271
Cabral_Col12_Dil6_Dark,0.5,17.5437,4,60.40104
Cabral_Col12_Dil7_Dark,1,23.4845,11,107.1875
Cabral_Col12_Dil8_Dark,2,38.5353,13,124.29167
Cabral_Col12_Dil9_Dark,4,23.8189,11,95.29688
Varari_Col1_Dil1_Light,0,20.6889,9,55.1875
Varari_Col1_Dil2_Light,0.01,21.364,10,71.65104
Varari_Col1_Dil3_Light,0.03,25.9042,11,98.76563
Varari_Col1_Dil4_Light,0.05,25.0998,12,92.44792
Varari_Col1_Dil5_Light,0.1,24.2234,11,81.38542
Varari_Col1_Dil6_Light,0.5,19.381,9,68.07812
Varari_Col1_Dil7_Light,1,23.3229,11,120.33854
Varari_Col1_Dil8_Light,2,18.0429,11,56.14063
Varari_Col1_Dil9_Light,4,22.3262,8,80.58854
Varari_Col1_Dil1_Dark,0,20.6889,9,55.1875
Varari_Col1_Dil2_Dark,0.01,21.364,10,71.65104
Varari_Col1_Dil3_Dark,0.03,25.9042,11,98.76563
Varari_Col1_Dil4_Dark,0.05,25.0998,12,92.44792
Varari_Col1_Dil5_Dark,0.1,24.2234,11,81.38542
Varari_Col1_Dil6_Dark,0.5,19.381,9,68.07812
Varari_Col1_Dil7_Dark,1,23.3229,11,120.33854
Varari_Col1_Dil8_Dark,2,18.0429,11,56.14063
Varari_Col1_Dil9_Dark,4,22.3262,8,80.58854
Varari_Col2_Dil1_Light,0,16.4294,4,56.19271
Varari_Col2_Dil2_Light,0.01,13.9719,4,64.28646
Varari_Col2_Dil3_Light,0.03,17.0568,9,56.57813
Varari_Col2_Dil4_Light,0.05,24.4993,11,80.22917
Varari_Col2_Dil5_Light,0.1,17.1579,10,51.08854
Varari_Col2_Dil6_Light,0.5,22.2006,12,90.94271
Varari_Col2_Dil7_Light,1,12.5407,2,33.97396
Varari_Col2_Dil8_Light,2,23.876,11,88.28125
Varari_Col2_Dil9_Light,4,17.4408,5,60.25521
Varari_Col2_Dil1_Dark,0,16.4294,4,56.19271
Varari_Col2_Dil2_Dark,0.01,13.9719,4,64.28646
Varari_Col2_Dil3_Dark,0.03,17.0568,9,56.57813
Varari_Col2_Dil4_Dark,0.05,24.4993,11,80.22917
Varari_Col2_Dil5_Dark,0.1,17.1579,10,51.08854
Varari_Col2_Dil6_Dark,0.5,22.2006,12,90.94271
Varari_Col2_Dil7_Dark,1,12.5407,2,33.97396
Varari_Col2_Dil8_Dark,2,23.876,11,88.28125
Varari_Col2_Dil9_Dark,4,17.4408,5,60.25521
Varari_Col3_Dil1_Light,0,21.6406,10,88.76563
Varari_Col3_Dil2_Light,0.01,27.1727,11,132.0625
Varari_Col3_Dil3_Light,0.03,16.6391,15,61.47396
Varari_Col3_Dil4_Light,0.05,25.2192,11,96.69271
Varari_Col3_Dil5_Light,0.1,23.7116,10,95.69271
Varari_Col3_Dil6_Light,0.5,15.7236,3,46.25521
Varari_Col3_Dil7_Light,1,18.3135,11,56.53646
Varari_Col3_Dil8_Light,2,20.506,11,95.64062
Varari_Col3_Dil9_Light,4,19.2976,11,90.26563
Varari_Col3_Dil1_Dark,0,21.6406,10,88.76563
Varari_Col3_Dil2_Dark,0.01,27.1727,11,132.0625
Varari_Col3_Dil3_Dark,0.03,16.6391,15,61.47396
Varari_Col3_Dil4_Dark,0.05,25.2192,11,96.69271
Varari_Col3_Dil5_Dark,0.1,23.7116,10,95.69271
Varari_Col3_Dil6_Dark,0.5,15.7236,3,46.25521
Varari_Col3_Dil7_Dark,1,18.3135,11,56.53646
Varari_Col3_Dil8_Dark,2,20.506,11,95.64062
Varari_Col3_Dil9_Dark,4,19.2976,11,90.26563
Varari_BlankD1_Dil1_Light,0,N/A,0,0
Varari_BlankD1_Dil2_Light,0.01,N/A,0,0
Varari_BlankD1_Dil3_Light,0.03,N/A,0,0
Varari_BlankD1_Dil4_Light,0.05,N/A,0,0
Varari_BlankD1_Dil5_Light,0.1,N/A,0,0
Varari_BlankD1_Dil6_Light,0.5,N/A,0,0
Varari_BlankD1_Dil7_Light,1,N/A,0,0
Varari_BlankD1_Dil8_Light,2,N/A,0,0
Varari_BlankD1_Dil9_Light,4,N/A,0,0
Varari_rerunBlankD1_Dil7_Light,1,N/A,0,0
Varari_BlankD1_Dil1_Dark,0,N/A,0,0
Varari_BlankD1_Dil2_Dark,0.01,N/A,0,0
Varari_BlankD1_Dil3_Dark,0.03,N/A,0,0
Varari_BlankD1_Dil4_Dark,0.05,N/A,0,0
Varari_BlankD1_Dil5_Dark,0.1,N/A,0,0
Varari_BlankD1_Dil6_Dark,0.5,N/A,0,0
Varari_BlankD1_Dil7_Dark,1,N/A,0,0
Varari_BlankD1_Dil8_Dark,2,N/A,0,0
Varari_BlankD1_Dil9_Dark,4,N/A,0,0
Varari_rerunBlankD1_Dil7_Dark,1,N/A,0,0
Varari_Col4_Dil1_Light,0,26.6907,10,100.39062
Varari_Col4_Dil2_Light,0.01,36.2514,13,156.07813
Varari_Col4_Dil3_Light,0.03,33.4728,12,126.47917
Varari_Col4_Dil4_Light,0.05,NA,12,0
Varari_Col4_Dil5_Light,0.1,24.1897,5,72.05729
Varari_Col4_Dil6_Light,0.5,18.901,5,91.09896
Varari_Col4_Dil7_Light,1,21.491,5,72.91146
Varari_Col4_Dil8_Light,2,20.6091,10,82.91146
Varari_Col4_Dil9_Light,4,29.938,11,123.58333
Varari_Col4_Dil1_Dark,0,26.6907,10,100.39062
Varari_Col4_Dil2_Dark,0.01,36.2514,13,156.07813
Varari_Col4_Dil3_Dark,0.03,33.4728,12,126.47917
Varari_Col4_Dil4_Dark,0.05,NA,12,0
Varari_Col4_Dil5_Dark,0.1,24.1897,5,72.05729
Varari_Col4_Dil6_Dark,0.5,18.901,5,91.09896
Varari_Col4_Dil7_Dark,1,21.491,5,72.91146
Varari_Col4_Dil8_Dark,2,20.6091,10,82.91146
Varari_Col4_Dil9_Dark,4,29.938,11,123.58333
Varari_BlankD2_Dil1_Light,0,N/A,0,0
Varari_BlankD2_Dil2_Light,0.01,N/A,0,0
Varari_BlankD2_Dil3_Light,0.03,N/A,0,0
Varari_BlankD2_Dil4_Light,0.05,N/A,0,0
Varari_BlankD2_Dil5_Light,0.1,N/A,0,0
Varari_BlankD2_Dil6_Light,0.5,N/A,0,0
Varari_BlankD2_Dil7_Light,1,N/A,0,0
Varari_BlankD2_Dil8_Light,2,N/A,0,0
Varari_BlankD2_Dil9_Light,4,N/A,0,0
Varari_BlankD2_Dil1_Dark,0,N/A,0,0
Varari_BlankD2_Dil2_Dark,0.01,N/A,0,0
Varari_BlankD2_Dil3_Dark,0.03,N/A,0,0
Varari_BlankD2_Dil4_Dark,0.05,N/A,0,0
Varari_BlankD2_Dil5_Dark,0.1,N/A,0,0
Varari_BlankD2_Dil6_Dark,0.5,N/A,0,0
Varari_BlankD2_Dil7_Dark,1,N/A,0,0
Varari_BlankD2_Dil8_Dark,2,N/A,0,0
Varari_BlankD2_Dil9_Dark,4,N/A,0,0
Varari_Col5_Dil1_Light,0,16.1931,5,53.38021
Varari_Col5_Dil2_Light,0.01,16.9069,11,61.73437
Varari_Col5_Dil3_Light,0.03,19.424,9,69.38021
Varari_Col5_Dil4_Light,0.05,20.1844,10,70.35938
Varari_Col5_Dil5_Light,0.1,19.9081,10,73.73437
Varari_Col5_Dil6_Light,0.5,30.8928,13,126.63021
Varari_Col5_Dil7_Light,1,26.7096,12,110.69271
Varari_Col5_Dil8_Light,2,22.3494,11,96.80208
Varari_Col5_Dil9_Light,4,18.6488,7,72.02083
Varari_Col5_Dil1_Dark,0,16.1931,5,53.38021
Varari_Col5_Dil2_Dark,0.01,16.9069,11,61.73437
Varari_Col5_Dil3_Dark,0.03,19.424,9,69.38021
Varari_Col5_Dil4_Dark,0.05,20.1844,10,70.35938
Varari_Col5_Dil5_Dark,0.1,19.9081,10,73.73437
Varari_Col5_Dil6_Dark,0.5,30.8928,13,126.63021
Varari_Col5_Dil7_Dark,1,26.7096,12,110.69271
Varari_Col5_Dil8_Dark,2,22.3494,11,96.80208
Varari_Col5_Dil9_Dark,4,18.6488,7,72.02083
Varari_Col6_Dil1_Light,0,18.3149,10,72.28646
Varari_Col6_Dil2_Light,0.01,16.6338,6,51.95312
Varari_Col6_Dil3_Light,0.03,19.295,6,66.79688
Varari_Col6_Dil4_Light,0.05,15.5725,9,56.29167
Varari_Col6_Dil5_Light,0.1,26.1319,12,107.05208
Varari_Col6_Dil6_Light,0.5,26.6088,11,67.83333
Varari_Col6_Dil7_Light,1,17.4999,14,48.27604
Varari_Col6_Dil8_Light,2,19.9363,10,64.18229
Varari_Col6_Dil9_Light,4,22.9699,2,99.94792
Varari_Col6_Dil1_Dark,0,18.3149,10,72.28646
Varari_Col6_Dil2_Dark,0.01,16.6338,6,51.95312
Varari_Col6_Dil3_Dark,0.03,19.295,6,66.79688
Varari_Col6_Dil4_Dark,0.05,15.5725,9,56.29167
Varari_Col6_Dil5_Dark,0.1,26.1319,12,107.05208
Varari_Col6_Dil6_Dark,0.5,26.6088,11,67.83333
Varari_Col6_Dil7_Dark,1,17.4999,14,48.27604
Varari_Col6_Dil8_Dark,2,19.9363,10,64.18229
Varari_Col6_Dil9_Dark,4,22.9699,2,99.94792
Varari_BlankD3_Dil1_Light,0,N/A,0,0
Varari_BlankD3_Dil2_Light,0.01,N/A,0,0
Varari_BlankD3_Dil3_Light,0.03,N/A,0,0
Varari_BlankD3_Dil4_Light,0.05,N/A,0,0
Varari_BlankD3_Dil5_Light,0.1,N/A,0,0
Varari_BlankD3_Dil6_Light,0.5,N/A,0,0
Varari_BlankD3_Dil7_Light,1,N/A,0,0
Varari_BlankD3_Dil8_Light,2,N/A,0,0
Varari_BlankD3_Dil9_Light,4,N/A,0,0
Varari_BlankD3_Dil1_Dark,0,N/A,0,0
Varari_BlankD3_Dil2_Dark,0.01,N/A,0,0
Varari_BlankD3_Dil3_Dark,0.03,N/A,0,0
Varari_BlankD3_Dil4_Dark,0.05,N/A,0,0
Varari_BlankD3_Dil5_Dark,0.1,N/A,0,0
Varari_BlankD3_Dil6_Dark,0.5,N/A,0,0
Varari_BlankD3_Dil7_Dark,1,N/A,0,0
Varari_BlankD3_Dil8_Dark,2,N/A,0,0
Varari_BlankD3_Dil9_Dark,4,N/A,0,0
Varari_Col7_Dil1_Light,0,22.4449,9,74.4375
Varari_Col7_Dil2_Light,0.01,25.1443,12,99.54687
Varari_Col7_Dil3_Light,0.03,36.0631,12,116.26042
Varari_Col7_Dil4_Light,0.05,26.9989,10,110.28646
Varari_Col7_Dil5_Light,0.1,21.4893,10,74.61979
Varari_Col7_Dil6_Light,0.5,22.3328,10,64.10417
Varari_Col7_Dil7_Light,1,22.9663,8,67.78125
Varari_Col7_Dil8_Light,2,31.9064,13,103.375
Varari_Col7_Dil9_Light,4,36.0579,12,113.77604
Varari_Col7_Dil1_Dark,0,22.4449,9,74.4375
Varari_Col7_Dil2_Dark,0.01,25.1443,12,99.54687
Varari_Col7_Dil3_Dark,0.03,36.0631,12,116.26042
Varari_Col7_Dil4_Dark,0.05,26.9989,10,110.28646
Varari_Col7_Dil5_Dark,0.1,21.4893,10,74.61979
Varari_Col7_Dil6_Dark,0.5,22.3328,10,64.10417
Varari_Col7_Dil7_Dark,1,22.9663,8,67.78125
Varari_Col7_Dil8_Dark,2,31.9064,13,103.375
Varari_Col7_Dil9_Dark,4,36.0579,12,113.77604
Varari_Col8_Dil1_Light,0,26.1967,12,101.45313
Varari_Col8_Dil2_Light,0.01,29.2357,12,113.25521
Varari_Col8_Dil3_Light,0.03,36.7845,14,163.99479
Varari_Col8_Dil4_Light,0.05,30.2097,12,111.09896
Varari_Col8_Dil5_Light,0.1,22.4056,9,82.60937
Varari_Col8_Dil6_Light,0.5,24.1318,12,238.71354
Varari_Col8_Dil7_Light,1,27.0498,10,0
Varari_Col8_Dil8_Light,2,28.9338,12,114.04687
Varari_Col8_Dil9_Light,4,25.624,12,85.45833
Varari_Col8_Dil1_Dark,0,26.1967,12,101.45313
Varari_Col8_Dil2_Dark,0.01,29.2357,12,113.25521
Varari_Col8_Dil3_Dark,0.03,36.7845,14,163.99479
Varari_Col8_Dil4_Dark,0.05,30.2097,12,111.09896
Varari_Col8_Dil5_Dark,0.1,22.4056,9,82.60937
Varari_Col8_Dil6_Dark,0.5,24.1318,12,238.71354
Varari_Col8_Dil7_Dark,1,27.0498,10,0
Varari_Col8_Dil8_Dark,2,28.9338,12,114.04687
Varari_Col8_Dil9_Dark,4,25.624,12,85.45833
Varari_BlankD4_Dil1_Light,0,N/A,0,0
Varari_BlankD4_Dil2_Light,0.01,N/A,0,0
Varari_BlankD4_Dil3_Light,0.03,N/A,0,0
Varari_BlankD4_Dil4_Light,0.05,N/A,0,0
Varari_BlankD4_Dil5_Light,0.1,N/A,0,0
Varari_BlankD4_Dil6_Light,0.5,N/A,0,0
Varari_BlankD4_Dil7_Light,1,N/A,0,0
Varari_BlankD4_Dil8_Light,2,N/A,0,0
Varari_BlankD4_Dil9_Light,4,N/A,0,0
Varari_BlankD4_Dil1_Dark,0,N/A,0,0
Varari_BlankD4_Dil2_Dark,0.01,N/A,0,0
Varari_BlankD4_Dil3_Dark,0.03,N/A,0,0
Varari_BlankD4_Dil4_Dark,0.05,N/A,0,0
Varari_BlankD4_Dil5_Dark,0.1,N/A,0,0
Varari_BlankD4_Dil6_Dark,0.5,N/A,0,0
Varari_BlankD4_Dil7_Dark,1,N/A,0,0
Varari_BlankD4_Dil8_Dark,2,N/A,0,0
Varari_BlankD4_Dil9_Dark,4,N/A,0,0
