rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,PR,species,sample_ID,species_ID,weight_g,volume_mL,frag_ID,SA_cm2,full_species
0.63,34,7.22,Inf,0.34,NA,1.54,Inf,Inf,6.69,NA,Respiration,Fcom,C08_TPC,C,1,467,C08,8.907737636,Favites complanata
0.59,33.59,8.54,Inf,0.45,NA,1.76,Inf,Inf,6.75,NA,Respiration,Prug,F01_TPC,F,1,464,F01,14.38535037,Pachyseris rugosa
0.59,33.59,8.54,Inf,0.45,NA,1.76,Inf,Inf,6.75,NA,Respiration,Prug,F04_TPC,F,1,463,F04,22.44704366,Pachyseris rugosa
0.59,33.59,8.54,Inf,0.45,NA,1.76,Inf,Inf,6.75,NA,Respiration,Prug,F03_TPC,F,1,463,F03,17.6489484,Pachyseris rugosa
0.59,33.59,8.54,Inf,0.45,NA,1.76,Inf,Inf,6.75,NA,Respiration,Prug,F06_TPC,F,1,465,F06,20.08308848,Pachyseris rugosa
0.59,33.59,8.54,Inf,0.45,NA,1.76,Inf,Inf,6.75,NA,Respiration,Prug,F07_TPC,F,1,444,F07,25.48732609,Pachyseris rugosa
0.59,33.59,8.54,Inf,0.45,NA,1.76,Inf,Inf,6.75,NA,Respiration,Prug,F08_TPC,F,1,457,F08,24.85885218,Pachyseris rugosa
0.42,32.97,8.15,Inf,0.37,NA,1.61,Inf,Inf,7.54,NA,Respiration,Maeq,H01_TPC,H,1,461,H01,32.84078989,Montipora aequituberculata
0.42,32.97,8.15,Inf,0.37,NA,1.61,Inf,Inf,7.54,NA,Respiration,Maeq,H02_TPC,H,1,455,H02,37.79520607,Montipora aequituberculata
0.42,32.97,8.15,Inf,0.37,NA,1.61,Inf,Inf,7.54,NA,Respiration,Maeq,H04_TPC,H,1,458,H04,41.64580512,Montipora aequituberculata
0.42,32.97,8.15,Inf,0.37,NA,1.61,Inf,Inf,7.54,NA,Respiration,Maeq,H06_TPC,H,1,465,H06,24.44093297,Montipora aequituberculata
0.42,32.97,8.15,Inf,0.37,NA,1.61,Inf,Inf,7.54,NA,Respiration,Maeq,H07_TPC,H,1,468,H07,19.99695246,Montipora aequituberculata
0.42,32.97,8.15,Inf,0.37,NA,1.61,Inf,Inf,7.54,NA,Respiration,Maeq,H08_TPC,H,1,466,H08,15.57211329,Montipora aequituberculata
1.59,29.58,-11.15,56.27,0.23,0.25,NA,26.69,67.42,9.5,-0.01,GrossPhoto,Pcyl,A01_TPC,A,1,463,A01,24.72486281,Porites cylindrica
1.59,29.58,-11.15,56.27,0.23,0.25,NA,26.69,67.42,9.5,-0.01,GrossPhoto,Pcyl,A02_TPC,A,1,459,A02,19.14835317,Porites cylindrica
1.59,29.58,-11.15,56.27,0.23,0.25,NA,26.69,67.42,9.5,-0.01,GrossPhoto,Pcyl,A03_TPC,A,1,461,A03,19.11326072,Porites cylindrica
1.59,29.58,-11.15,56.27,0.23,0.25,NA,26.69,67.42,9.5,-0.01,GrossPhoto,Pcyl,A06_TPC,A,1,464,A06,17.41606213,Porites cylindrica
1.59,29.58,-11.15,56.27,0.23,0.25,NA,26.69,67.42,9.5,-0.01,GrossPhoto,Pcyl,A07_TPC,A,1,462,A07,13.81749069,Porites cylindrica
1.59,29.58,-11.15,56.27,0.23,0.25,NA,26.69,67.42,9.5,-0.01,GrossPhoto,Pcyl,A08_TPC,A,1,464,A08,13.2751528,Porites cylindrica
1.58,29.59,5.82,51.58,0.5,0.42,1.9,22,45.77,8.63,0.08,GrossPhoto,Elam,G01_TPC,G,1,460,G01,20.38296944,Echinopora lamellosa
1.58,29.59,5.82,51.58,0.5,0.42,1.9,22,45.77,8.63,0.08,GrossPhoto,Elam,G02_TPC,G,1,461,G02,16.88329491,Echinopora lamellosa
1.58,29.59,5.82,51.58,0.5,0.42,1.9,22,45.77,8.63,0.08,GrossPhoto,Elam,G05_TPC,G,1,465,G05,17.26931188,Echinopora lamellosa
1.58,29.59,5.82,51.58,0.5,0.42,1.9,22,45.77,8.63,0.08,GrossPhoto,Elam,G06_TPC,G,1,462,G06,22.13759203,Echinopora lamellosa
1.58,29.59,5.82,51.58,0.5,0.42,1.9,22,45.77,8.63,0.08,GrossPhoto,Elam,G07_TPC,G,1,462,G07,20.22026807,Echinopora lamellosa
1.58,29.59,5.82,51.58,0.5,0.42,1.9,22,45.77,8.63,0.08,GrossPhoto,Elam,G08_TPC,G,1,461,G08,22.74054416,Echinopora lamellosa
1.67,30.22,-8,44.85,0.31,0.63,1.5,14.63,52.85,9.11,-0.32,GrossPhoto,Fcom,C01_TPC,C,1,462,C01,23.69761104,Favites complanata
1.67,30.22,-8,44.85,0.31,0.63,1.5,14.63,52.85,9.11,-0.32,GrossPhoto,Fcom,C02_TPC,C,1,460,C02,24.72805304,Favites complanata
1.67,30.22,-8,44.85,0.31,0.63,1.5,14.63,52.85,9.11,-0.32,GrossPhoto,Fcom,C03_TPC,C,1,452,C03,26.45396363,Favites complanata
1.67,30.22,-8,44.85,0.31,0.63,1.5,14.63,52.85,9.11,-0.32,GrossPhoto,Fcom,C06_TPC,C,1,456,C06,18.47840636,Favites complanata
1.67,30.22,-8,44.85,0.31,0.63,1.5,14.63,52.85,9.11,-0.32,GrossPhoto,Fcom,C07_TPC,C,1,463,C07,12.85404337,Favites complanata
1.67,30.22,-8,44.85,0.31,0.63,1.5,14.63,52.85,9.11,-0.32,GrossPhoto,Fcom,C08_TPC,C,1,467,C08,8.907737636,Favites complanata
1.57,29.77,-6.58,44.2,0.38,0.6,1.64,14.43,50.78,8.8,-0.22,GrossPhoto,Prug,F01_TPC,F,1,464,F01,14.38535037,Pachyseris rugosa
1.57,29.77,-6.58,44.2,0.38,0.6,1.64,14.43,50.78,8.8,-0.22,GrossPhoto,Prug,F04_TPC,F,1,463,F04,22.44704366,Pachyseris rugosa
1.57,29.77,-6.58,44.2,0.38,0.6,1.64,14.43,50.78,8.8,-0.22,GrossPhoto,Prug,F03_TPC,F,1,463,F03,17.6489484,Pachyseris rugosa
1.57,29.77,-6.58,44.2,0.38,0.6,1.64,14.43,50.78,8.8,-0.22,GrossPhoto,Prug,F06_TPC,F,1,465,F06,20.08308848,Pachyseris rugosa
1.57,29.77,-6.58,44.2,0.38,0.6,1.64,14.43,50.78,8.8,-0.22,GrossPhoto,Prug,F07_TPC,F,1,444,F07,25.48732609,Pachyseris rugosa
1.57,29.77,-6.58,44.2,0.38,0.6,1.64,14.43,50.78,8.8,-0.22,GrossPhoto,Prug,F08_TPC,F,1,457,F08,24.85885218,Pachyseris rugosa
1.39,30.23,-4.04,59.08,0.28,0.18,1.43,28.84,63.11,9.5,0.1,GrossPhoto,Peyd,E01_TPC,E,1,460,E01,33.93822657,Pocillopora eydouxi
1.39,30.23,-4.04,59.08,0.28,0.18,1.43,28.84,63.11,9.5,0.1,GrossPhoto,Peyd,E02_TPC,E,1,457,E02,34.41995023,Pocillopora eydouxi
1.39,30.23,-4.04,59.08,0.28,0.18,1.43,28.84,63.11,9.5,0.1,GrossPhoto,Peyd,E03_TPC,E,1,457,E03,37.62293403,Pocillopora eydouxi
1.39,30.23,-4.04,59.08,0.28,0.18,1.43,28.84,63.11,9.5,0.1,GrossPhoto,Peyd,E06_TPC,E,1,455,E06,44.66694621,Pocillopora eydouxi
1.39,30.23,-4.04,59.08,0.28,0.18,1.43,28.84,63.11,9.5,0.1,GrossPhoto,Peyd,E07_TPC,E,1,462,E07,18.03177515,Pocillopora eydouxi
1.39,30.23,-4.04,59.08,0.28,0.18,1.43,28.84,63.11,9.5,0.1,GrossPhoto,Peyd,E08_TPC,E,1,461,E08,30.03020351,Pocillopora eydouxi
1.27,29.7,3.58,50.99,0.46,0.41,1.8,21.3,47.41,8.93,0.05,GrossPhoto,Ahya,J01_TPC,J,1,465,J01,16.22929921,Acropora hyacinthus
1.27,29.7,3.58,50.99,0.46,0.41,1.8,21.3,47.41,8.93,0.05,GrossPhoto,Ahya,J02_TPC,J,1,464,J02,20.79769841,Acropora hyacinthus
1.27,29.7,3.58,50.99,0.46,0.41,1.8,21.3,47.41,8.93,0.05,GrossPhoto,Ahya,J03_TPC,J,1,461,J03,29.80688791,Acropora hyacinthus
1.27,29.7,3.58,50.99,0.46,0.41,1.8,21.3,47.41,8.93,0.05,GrossPhoto,Ahya,J06_TPC,J,1,466,J06,15.5880644,Acropora hyacinthus
1.27,29.7,3.58,50.99,0.46,0.41,1.8,21.3,47.41,8.93,0.05,GrossPhoto,Ahya,J07_TPC,J,1,465,J07,16.49727793,Acropora hyacinthus
1.27,29.7,3.58,50.99,0.46,0.41,1.8,21.3,47.41,8.93,0.05,GrossPhoto,Ahya,J08_TPC,J,1,464,J08,15.59444485,Acropora hyacinthus
1.38,30.02,7.93,72.79,0.33,0.2,1.53,42.77,64.86,9.11,0.13,GrossPhoto,Tfro,I01_TPC,I,1,468,I01,26.20193602,Turbinaria frondens
1.38,30.02,7.93,72.79,0.33,0.2,1.53,42.77,64.86,9.11,0.13,GrossPhoto,Tfro,I02_TPC,I,1,460,I02,24.37074807,Turbinaria frondens
1.38,30.02,7.93,72.79,0.33,0.2,1.53,42.77,64.86,9.11,0.13,GrossPhoto,Tfro,I03_TPC,I,1,459,I03,30.56935118,Turbinaria frondens
1.38,30.02,7.93,72.79,0.33,0.2,1.53,42.77,64.86,9.11,0.13,GrossPhoto,Tfro,I06_TPC,I,1,464,I06,22.32262496,Turbinaria frondens
1.38,30.02,7.93,72.79,0.33,0.2,1.53,42.77,64.86,9.11,0.13,GrossPhoto,Tfro,I07_TPC,I,1,466,I07,10.84739316,Turbinaria frondens
1.38,30.02,7.93,72.79,0.33,0.2,1.53,42.77,64.86,9.11,0.13,GrossPhoto,Tfro,I08_TPC,I,1,465,I08,7.194587934,Turbinaria frondens
1.21,29.68,5.47,49.06,0.49,0.53,1.88,19.38,43.59,8.2,-0.03,GrossPhoto,Mvie,B01_TPC,B,1,462,B01,19.26639142,Montipora vietnamensis
1.21,29.68,5.47,49.06,0.49,0.53,1.88,19.38,43.59,8.2,-0.03,GrossPhoto,Mvie,B02_TPC,B,1,464,B02,18.64110773,Montipora vietnamensis
1.21,29.68,5.47,49.06,0.49,0.53,1.88,19.38,43.59,8.2,-0.03,GrossPhoto,Mvie,B03_TPC,B,1,465,B03,17.06832783,Montipora vietnamensis
1.21,29.68,5.47,49.06,0.49,0.53,1.88,19.38,43.59,8.2,-0.03,GrossPhoto,Mvie,B06_TPC,B,1,466,B06,13.28791369,Montipora vietnamensis
1.21,29.68,5.47,49.06,0.49,0.53,1.88,19.38,43.59,8.2,-0.03,GrossPhoto,Mvie,B07_TPC,B,1,468,B07,13.30067458,Montipora vietnamensis
1.21,29.68,5.47,49.06,0.49,0.53,1.88,19.38,43.59,8.2,-0.03,GrossPhoto,Mvie,B08_TPC,B,1,465,B08,21.71648261,Montipora vietnamensis
0.95,29.51,-3.7,51.53,0.31,0.38,1.49,22.02,55.23,9.5,-0.08,GrossPhoto,Maeq,H01_TPC,H,1,461,H01,32.84078989,Montipora aequituberculata
0.95,29.51,-3.7,51.53,0.31,0.38,1.49,22.02,55.23,9.5,-0.08,GrossPhoto,Maeq,H02_TPC,H,1,455,H02,37.79520607,Montipora aequituberculata
0.95,29.51,-3.7,51.53,0.31,0.38,1.49,22.02,55.23,9.5,-0.08,GrossPhoto,Maeq,H04_TPC,H,1,458,H04,41.64580512,Montipora aequituberculata
0.95,29.51,-3.7,51.53,0.31,0.38,1.49,22.02,55.23,9.5,-0.08,GrossPhoto,Maeq,H06_TPC,H,1,465,H06,24.44093297,Montipora aequituberculata
0.95,29.51,-3.7,51.53,0.31,0.38,1.49,22.02,55.23,9.5,-0.08,GrossPhoto,Maeq,H07_TPC,H,1,468,H07,19.99695246,Montipora aequituberculata
0.95,29.51,-3.7,51.53,0.31,0.38,1.49,22.02,55.23,9.5,-0.08,GrossPhoto,Maeq,H08_TPC,H,1,466,H08,15.57211329,Montipora aequituberculata
1.64,29.89,1.72,61.45,0.31,0.26,NA,31.55,59.73,9.5,0.06,GrossPhoto,Prus,D01_TPC,D,1,460,D01,28.54674986,Porites rus
1.64,29.89,1.72,61.45,0.31,0.26,NA,31.55,59.73,9.5,0.06,GrossPhoto,Prus,D02_TPC,D,1,464,D02,18.28699298,Porites rus
1.64,29.89,1.72,61.45,0.31,0.26,NA,31.55,59.73,9.5,0.06,GrossPhoto,Prus,D03_TPC,D,1,463,D03,17.32354567,Porites rus
1.64,29.89,1.72,61.45,0.31,0.26,NA,31.55,59.73,9.5,0.06,GrossPhoto,Prus,D06_TPC,D,1,462,D06,16.312245,Porites rus
1.64,29.89,1.72,61.45,0.31,0.26,NA,31.55,59.73,9.5,0.06,GrossPhoto,Prus,D07_TPC,D,1,465,D07,13.26877235,Porites rus
1.64,29.89,1.72,61.45,0.31,0.26,NA,31.55,59.73,9.5,0.06,GrossPhoto,Prus,D04_TPC,D,1,460,D04,15.43174348,Porites rus
1.06,28.6,6.93,46.1,0.62,0.69,2.22,17.5,39.17,7.36,-0.08,NetPhoto,Elam,G01_TPC,G,1,460,G01,20.38296944,Echinopora lamellosa
1.06,28.6,6.93,46.1,0.62,0.69,2.22,17.5,39.17,7.36,-0.08,NetPhoto,Elam,G02_TPC,G,1,461,G02,16.88329491,Echinopora lamellosa
1.06,28.6,6.93,46.1,0.62,0.69,2.22,17.5,39.17,7.36,-0.08,NetPhoto,Elam,G05_TPC,G,1,465,G05,17.26931188,Echinopora lamellosa
1.06,28.6,6.93,46.1,0.62,0.69,2.22,17.5,39.17,7.36,-0.08,NetPhoto,Elam,G06_TPC,G,1,462,G06,22.13759203,Echinopora lamellosa
1.06,28.6,6.93,46.1,0.62,0.69,2.22,17.5,39.17,7.36,-0.08,NetPhoto,Elam,G07_TPC,G,1,462,G07,20.22026807,Echinopora lamellosa
1.06,28.6,6.93,46.1,0.62,0.69,2.22,17.5,39.17,7.36,-0.08,NetPhoto,Elam,G08_TPC,G,1,461,G08,22.74054416,Echinopora lamellosa
1.09,30.02,-Inf,39.03,0.21,1.16,1.31,9.01,Inf,8.52,-0.95,NetPhoto,Fcom,C01_TPC,C,1,462,C01,23.69761104,Favites complanata
1.09,30.02,-Inf,39.03,0.21,1.16,1.31,9.01,Inf,8.52,-0.95,NetPhoto,Fcom,C02_TPC,C,1,460,C02,24.72805304,Favites complanata
1.09,30.02,-Inf,39.03,0.21,1.16,1.31,9.01,Inf,8.52,-0.95,NetPhoto,Fcom,C03_TPC,C,1,452,C03,26.45396363,Favites complanata
1.09,30.02,-Inf,39.03,0.21,1.16,1.31,9.01,Inf,8.52,-0.95,NetPhoto,Fcom,C06_TPC,C,1,456,C06,18.47840636,Favites complanata
1.09,30.02,-Inf,39.03,0.21,1.16,1.31,9.01,Inf,8.52,-0.95,NetPhoto,Fcom,C07_TPC,C,1,463,C07,12.85404337,Favites complanata
1.09,30.02,-Inf,39.03,0.21,1.16,1.31,9.01,Inf,8.52,-0.95,NetPhoto,Fcom,C08_TPC,C,1,467,C08,8.907737636,Favites complanata
1.03,28.98,-13.65,41.47,0.29,0.73,1.45,12.49,55.12,7.97,-0.44,NetPhoto,Prug,F01_TPC,F,1,464,F01,14.38535037,Pachyseris rugosa
1.03,28.98,-13.65,41.47,0.29,0.73,1.45,12.49,55.12,7.97,-0.44,NetPhoto,Prug,F04_TPC,F,1,463,F04,22.44704366,Pachyseris rugosa
1.03,28.98,-13.65,41.47,0.29,0.73,1.45,12.49,55.12,7.97,-0.44,NetPhoto,Prug,F03_TPC,F,1,463,F03,17.6489484,Pachyseris rugosa
1.03,28.98,-13.65,41.47,0.29,0.73,1.45,12.49,55.12,7.97,-0.44,NetPhoto,Prug,F06_TPC,F,1,465,F06,20.08308848,Pachyseris rugosa
1.03,28.98,-13.65,41.47,0.29,0.73,1.45,12.49,55.12,7.97,-0.44,NetPhoto,Prug,F07_TPC,F,1,444,F07,25.48732609,Pachyseris rugosa
1.03,28.98,-13.65,41.47,0.29,0.73,1.45,12.49,55.12,7.97,-0.44,NetPhoto,Prug,F08_TPC,F,1,457,F08,24.85885218,Pachyseris rugosa
0.86,28.61,-8.77,45.14,0.27,0.61,1.42,16.53,53.91,8.18,-0.34,NetPhoto,Peyd,E01_TPC,E,1,460,E01,33.93822657,Pocillopora eydouxi
0.86,28.61,-8.77,45.14,0.27,0.61,1.42,16.53,53.91,8.18,-0.34,NetPhoto,Peyd,E02_TPC,E,1,457,E02,34.41995023,Pocillopora eydouxi
0.86,28.61,-8.77,45.14,0.27,0.61,1.42,16.53,53.91,8.18,-0.34,NetPhoto,Peyd,E03_TPC,E,1,457,E03,37.62293403,Pocillopora eydouxi
0.86,28.61,-8.77,45.14,0.27,0.61,1.42,16.53,53.91,8.18,-0.34,NetPhoto,Peyd,E06_TPC,E,1,455,E06,44.66694621,Pocillopora eydouxi
0.86,28.61,-8.77,45.14,0.27,0.61,1.42,16.53,53.91,8.18,-0.34,NetPhoto,Peyd,E07_TPC,E,1,462,E07,18.03177515,Pocillopora eydouxi
0.86,28.61,-8.77,45.14,0.27,0.61,1.42,16.53,53.91,8.18,-0.34,NetPhoto,Peyd,E08_TPC,E,1,461,E08,30.03020351,Pocillopora eydouxi
0.83,28.66,2.93,43.23,0.57,0.77,2.08,14.57,40.31,7.36,-0.2,NetPhoto,Ahya,J01_TPC,J,1,465,J01,16.22929921,Acropora hyacinthus
0.83,28.66,2.93,43.23,0.57,0.77,2.08,14.57,40.31,7.36,-0.2,NetPhoto,Ahya,J02_TPC,J,1,464,J02,20.79769841,Acropora hyacinthus
0.83,28.66,2.93,43.23,0.57,0.77,2.08,14.57,40.31,7.36,-0.2,NetPhoto,Ahya,J03_TPC,J,1,461,J03,29.80688791,Acropora hyacinthus
0.83,28.66,2.93,43.23,0.57,0.77,2.08,14.57,40.31,7.36,-0.2,NetPhoto,Ahya,J06_TPC,J,1,466,J06,15.5880644,Acropora hyacinthus
0.83,28.66,2.93,43.23,0.57,0.77,2.08,14.57,40.31,7.36,-0.2,NetPhoto,Ahya,J07_TPC,J,1,465,J07,16.49727793,Acropora hyacinthus
0.83,28.66,2.93,43.23,0.57,0.77,2.08,14.57,40.31,7.36,-0.2,NetPhoto,Ahya,J08_TPC,J,1,464,J08,15.59444485,Acropora hyacinthus
0.78,28.68,-5.28,47.25,0.41,0.47,1.71,18.57,52.54,8.46,-0.06,NetPhoto,Tfro,I01_TPC,I,1,468,I01,26.20193602,Turbinaria frondens
0.78,28.68,-5.28,47.25,0.41,0.47,1.71,18.57,52.54,8.46,-0.06,NetPhoto,Tfro,I02_TPC,I,1,460,I02,24.37074807,Turbinaria frondens
0.78,28.68,-5.28,47.25,0.41,0.47,1.71,18.57,52.54,8.46,-0.06,NetPhoto,Tfro,I03_TPC,I,1,459,I03,30.56935118,Turbinaria frondens
0.78,28.68,-5.28,47.25,0.41,0.47,1.71,18.57,52.54,8.46,-0.06,NetPhoto,Tfro,I06_TPC,I,1,464,I06,22.32262496,Turbinaria frondens
0.78,28.68,-5.28,47.25,0.41,0.47,1.71,18.57,52.54,8.46,-0.06,NetPhoto,Tfro,I07_TPC,I,1,466,I07,10.84739316,Turbinaria frondens
0.78,28.68,-5.28,47.25,0.41,0.47,1.71,18.57,52.54,8.46,-0.06,NetPhoto,Tfro,I08_TPC,I,1,465,I08,7.194587934,Turbinaria frondens
0.79,29.51,-12.17,39.25,0.4,1.11,1.67,9.74,51.42,7.88,-0.71,NetPhoto,Mvie,B01_TPC,B,1,462,B01,19.26639142,Montipora vietnamensis
0.79,29.51,-12.17,39.25,0.4,1.11,1.67,9.74,51.42,7.88,-0.71,NetPhoto,Mvie,B02_TPC,B,1,464,B02,18.64110773,Montipora vietnamensis
0.79,29.51,-12.17,39.25,0.4,1.11,1.67,9.74,51.42,7.88,-0.71,NetPhoto,Mvie,B03_TPC,B,1,465,B03,17.06832783,Montipora vietnamensis
0.79,29.51,-12.17,39.25,0.4,1.11,1.67,9.74,51.42,7.88,-0.71,NetPhoto,Mvie,B06_TPC,B,1,466,B06,13.28791369,Montipora vietnamensis
0.79,29.51,-12.17,39.25,0.4,1.11,1.67,9.74,51.42,7.88,-0.71,NetPhoto,Mvie,B07_TPC,B,1,468,B07,13.30067458,Montipora vietnamensis
0.79,29.51,-12.17,39.25,0.4,1.11,1.67,9.74,51.42,7.88,-0.71,NetPhoto,Mvie,B08_TPC,B,1,465,B08,21.71648261,Montipora vietnamensis
0.56,28.04,1.71,48.6,0.32,0.62,1.51,20.56,46.89,7.76,-0.3,NetPhoto,Maeq,H01_TPC,H,1,461,H01,32.84078989,Montipora aequituberculata
0.56,28.04,1.71,48.6,0.32,0.62,1.51,20.56,46.89,7.76,-0.3,NetPhoto,Maeq,H02_TPC,H,1,455,H02,37.79520607,Montipora aequituberculata
0.56,28.04,1.71,48.6,0.32,0.62,1.51,20.56,46.89,7.76,-0.3,NetPhoto,Maeq,H04_TPC,H,1,458,H04,41.64580512,Montipora aequituberculata
0.56,28.04,1.71,48.6,0.32,0.62,1.51,20.56,46.89,7.76,-0.3,NetPhoto,Maeq,H06_TPC,H,1,465,H06,24.44093297,Montipora aequituberculata
0.56,28.04,1.71,48.6,0.32,0.62,1.51,20.56,46.89,7.76,-0.3,NetPhoto,Maeq,H07_TPC,H,1,468,H07,19.99695246,Montipora aequituberculata
0.56,28.04,1.71,48.6,0.32,0.62,1.51,20.56,46.89,7.76,-0.3,NetPhoto,Maeq,H08_TPC,H,1,466,H08,15.57211329,Montipora aequituberculata
1.01,28.38,-20.17,46.14,0.22,0.47,1.33,17.76,66.31,8.53,-0.25,NetPhoto,Prus,D01_TPC,D,1,460,D01,28.54674986,Porites rus
1.01,28.38,-20.17,46.14,0.22,0.47,1.33,17.76,66.31,8.53,-0.25,NetPhoto,Prus,D02_TPC,D,1,464,D02,18.28699298,Porites rus
1.01,28.38,-20.17,46.14,0.22,0.47,1.33,17.76,66.31,8.53,-0.25,NetPhoto,Prus,D03_TPC,D,1,463,D03,17.32354567,Porites rus
1.01,28.38,-20.17,46.14,0.22,0.47,1.33,17.76,66.31,8.53,-0.25,NetPhoto,Prus,D06_TPC,D,1,462,D06,16.312245,Porites rus
1.01,28.38,-20.17,46.14,0.22,0.47,1.33,17.76,66.31,8.53,-0.25,NetPhoto,Prus,D07_TPC,D,1,465,D07,13.26877235,Porites rus
1.01,28.38,-20.17,46.14,0.22,0.47,1.33,17.76,66.31,8.53,-0.25,NetPhoto,Prus,D04_TPC,D,1,460,D04,15.43174348,Porites rus
0.95,27.54,-22.9,57.53,0.22,0.23,1.34,29.99,80.44,9.5,-0,NetPhoto,Pcyl,A01_TPC,A,1,463,A01,24.72486281,Porites cylindrica
0.95,27.54,-22.9,57.53,0.22,0.23,1.34,29.99,80.44,9.5,-0,NetPhoto,Pcyl,A02_TPC,A,1,459,A02,19.14835317,Porites cylindrica
0.95,27.54,-22.9,57.53,0.22,0.23,1.34,29.99,80.44,9.5,-0,NetPhoto,Pcyl,A03_TPC,A,1,461,A03,19.11326072,Porites cylindrica
0.95,27.54,-22.9,57.53,0.22,0.23,1.34,29.99,80.44,9.5,-0,NetPhoto,Pcyl,A06_TPC,A,1,464,A06,17.41606213,Porites cylindrica
0.95,27.54,-22.9,57.53,0.22,0.23,1.34,29.99,80.44,9.5,-0,NetPhoto,Pcyl,A07_TPC,A,1,462,A07,13.81749069,Porites cylindrica
0.95,27.54,-22.9,57.53,0.22,0.23,1.34,29.99,80.44,9.5,-0,NetPhoto,Pcyl,A08_TPC,A,1,464,A08,13.2751528,Porites cylindrica
