rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,PR,frag_ID,sample_ID,weight_g,volume_mL,SA_cm2,species
11.87,34,21.14,Inf,0.29,NA,NA,Inf,Inf,8.13,NA,Respiration,A08,A08_TPC,1,464,13.2751528,Pcyl
10.94,31.69,3.55,49.87,0.46,NA,NA,18.18,46.32,6.94,NA,Respiration,F08,F08_TPC,1,457,24.85885218,Prug
11.3,31.51,7.13,70.09,0.36,NA,NA,38.58,62.96,7.84,NA,Respiration,B03,B03_TPC,1,465,17.06832783,Mvie
18.05,24.5,-Inf,38.96,NA,0.47,NA,14.46,Inf,6.76,NA,NetPhoto,A01,A01_TPC,1,463,24.72486281,Pcyl
21.27,27.7,17.72,55.49,0.96,0.71,3.46,27.79,37.77,6.05,0.25,NetPhoto,G01,G01_TPC,1,460,20.38296944,Elam
17.41,29.11,-11.56,41.34,0.33,0.95,NA,12.23,52.9,8,-0.62,NetPhoto,C01,C01_TPC,1,462,23.69761104,Fcom
17.96,29.01,10.4,46.5,0.66,0.79,NA,17.49,36.1,6.87,-0.13,NetPhoto,F01,F01_TPC,1,464,14.38535037,Prug
14.53,28.42,8.91,51.98,0.45,0.65,NA,23.56,43.07,8.02,-0.2,NetPhoto,E01,E01_TPC,1,460,33.93822657,Peyd
15.51,28.43,10.58,48.45,0.53,0.73,NA,20.02,37.87,7.09,-0.2,NetPhoto,J01,J01_TPC,1,465,16.22929921,Ahya
11.29,27.46,16.68,55.2,0.76,0.69,2.68,27.74,38.52,6.28,0.07,NetPhoto,I01,I01_TPC,1,468,26.20193602,Tfro
16.17,29.43,-22.58,39.31,0.27,1.17,NA,9.88,61.89,8.02,-0.91,NetPhoto,B01,B01_TPC,1,462,19.26639142,Mvie
8.46,27.2,-Inf,40.56,0.28,0.67,NA,13.37,Inf,7.17,-0.39,NetPhoto,H01,H01_TPC,1,461,32.84078989,Maeq
17.57,27.37,-Inf,41.84,-0.13,0.56,NA,14.48,Inf,7.76,-0.7,NetPhoto,D01,D01_TPC,1,460,28.54674986,Prus
21.73,27.83,11.05,55.13,0.74,0.49,NA,27.31,44.09,7.56,0.25,NetPhoto,G02,G02_TPC,1,461,16.88329491,Elam
16.8,26.83,-2.07,54.61,NA,0.38,NA,27.78,56.68,7.59,NA,NetPhoto,E02,E02_TPC,1,457,34.41995023,Peyd
18.41,28.14,6.16,48.43,0.42,0.47,NA,20.29,42.27,7.5,-0.04,NetPhoto,F04,F04_TPC,1,463,22.44704366,Prug
18.07,27.51,-3.6,43.94,0.41,0.72,NA,16.43,47.54,6.84,-0.31,NetPhoto,D02,D02_TPC,1,464,18.28699298,Prus
16.07,26.44,21.31,Inf,NA,0.52,NA,Inf,Inf,7.06,NA,NetPhoto,A02,A02_TPC,1,459,19.14835317,Pcyl
14.13,29.7,-13.29,45.7,0.37,0.37,NA,16,58.99,9.36,0,NetPhoto,I02,I02_TPC,1,460,24.37074807,Tfro
20.3,28.7,5.33,47.24,0.59,0.52,NA,18.54,41.91,7.88,0.06,NetPhoto,C02,C02_TPC,1,460,24.72805304,Fcom
15.85,26.77,20.01,50.01,NA,0.94,NA,23.24,30.01,4.58,NA,NetPhoto,J02,J02_TPC,1,464,20.79769841,Ahya
14.84,28.81,7.56,43.38,0.7,0.85,NA,14.57,35.82,6.68,-0.15,NetPhoto,B02,B02_TPC,1,464,18.64110773,Mvie
10.59,28.25,-8.66,42.55,0.35,0.82,NA,14.31,51.21,7.41,-0.48,NetPhoto,H02,H02_TPC,1,455,37.79520607,Maeq
14.04,28.08,-Inf,44.28,-0.09,0.71,NA,16.2,Inf,8.35,-0.8,NetPhoto,E03,E03_TPC,1,457,37.62293403,Peyd
9.48,28.17,7.36,51.2,0.43,0.61,NA,23.03,43.84,7.82,-0.17,NetPhoto,I03,I03_TPC,1,459,30.56935118,Tfro
19.08,25.5,20.69,Inf,NA,0.34,NA,Inf,Inf,6.85,NA,NetPhoto,A03,A03_TPC,1,461,19.11326072,Pcyl
13.28,28.08,14.23,58.42,0.58,0.61,NA,30.34,44.19,7.53,-0.03,NetPhoto,H04,H04_TPC,1,458,41.64580512,Maeq
22.04,28.5,11.91,64.99,0.37,0.48,NA,36.49,53.09,8.95,-0.11,NetPhoto,F03,F03_TPC,1,463,17.6489484,Prug
18.34,28.05,11.69,46.92,0.57,0.8,NA,18.87,35.23,6.65,-0.23,NetPhoto,J03,J03_TPC,1,461,29.80688791,Ahya
13.46,29.61,-Inf,37.02,0.23,1.34,NA,7.41,Inf,7.88,-1.11,NetPhoto,B03,B03_TPC,1,465,17.06832783,Mvie
29.86,30.51,-10.9,38.96,0.42,1.18,NA,8.45,49.87,7.38,-0.76,NetPhoto,C03,C03_TPC,1,452,26.45396363,Fcom
26.93,27.53,20.45,78.18,1.29,0.48,5.31,50.65,57.73,6.69,0.81,NetPhoto,G05,G05_TPC,1,465,17.26931188,Elam
15.24,26.92,17.91,Inf,NA,0.36,NA,Inf,Inf,7.92,NA,NetPhoto,D03,D03_TPC,1,463,17.32354567,Prus
5.66,26.69,-Inf,52.62,NA,0.24,NA,25.93,Inf,8.94,NA,NetPhoto,I06,I06_TPC,1,464,22.32262496,Tfro
9.72,29.46,10.99,53.64,0.74,0.39,2.61,24.18,42.66,7.89,0.35,NetPhoto,J06,J06_TPC,1,466,15.5880644,Ahya
10.33,28.32,-8.69,44.49,0.26,0.51,NA,16.17,53.19,7.5,-0.25,NetPhoto,G06,G06_TPC,1,462,22.13759203,Elam
10.72,29.17,-Inf,36.23,0.2,1.53,NA,7.06,Inf,7.69,-1.33,NetPhoto,E06,E06_TPC,1,455,44.66694621,Peyd
15.94,30.22,-13.05,60.94,0.21,0.16,NA,30.72,73.99,9.5,0.05,NetPhoto,D06,D06_TPC,1,462,16.312245,Prus
23.87,28.93,-2.96,46.53,0.33,0.57,NA,17.6,49.5,8.48,-0.23,NetPhoto,F06,F06_TPC,1,465,20.08308848,Prug
9.34,29.39,-Inf,39.2,0.1,0.7,NA,9.82,Inf,8.28,-0.6,NetPhoto,B06,B06_TPC,1,466,13.28791369,Mvie
19.12,30.04,-Inf,37.21,0.26,1.97,NA,7.17,Inf,8.02,-1.71,NetPhoto,B07,B07_TPC,1,468,13.30067458,Mvie
22.92,30.04,-Inf,37.77,0.18,1.2,NA,7.73,Inf,8.43,-1.02,NetPhoto,A07,A07_TPC,1,462,13.81749069,Pcyl
22.05,29.29,-2.49,41.38,0.44,0.96,NA,12.09,43.87,7.5,-0.53,NetPhoto,E07,E07_TPC,1,462,18.03177515,Peyd
18.69,29.38,-4.73,38.62,0.51,1.37,NA,9.23,43.34,6.84,-0.86,NetPhoto,J07,J07_TPC,1,465,16.49727793,Ahya
28.4,30.49,-24.49,37.76,0.31,1.38,NA,7.27,62.25,8.44,-1.06,NetPhoto,C07,C07_TPC,1,463,12.85404337,Fcom
25.83,29.25,-Inf,38.33,0.24,1.36,NA,9.08,Inf,7.71,-1.12,NetPhoto,F07,F07_TPC,1,444,25.48732609,Prug
21.07,29.55,-Inf,40.63,0.2,0.83,NA,11.08,Inf,8.5,-0.63,NetPhoto,D07,D07_TPC,1,465,13.26877235,Prus
15.95,29.08,-21.38,39.8,0.26,1.08,NA,10.72,61.18,7.85,-0.82,NetPhoto,I07,I07_TPC,1,466,10.84739316,Tfro
16.48,28.7,-20.4,41.12,0.31,0.73,NA,12.42,61.52,7.8,-0.42,NetPhoto,G07,G07_TPC,1,462,20.22026807,Elam
14.56,28.57,-Inf,42.9,0.15,0.58,NA,14.32,Inf,8.32,-0.43,NetPhoto,H07,H07_TPC,1,468,19.99695246,Maeq
9.06,24.5,-Inf,35.22,NA,0.56,NA,10.72,Inf,7.07,NA,NetPhoto,B08,B08_TPC,1,465,21.71648261,Mvie
9.45,28.83,-3.86,43.14,0.49,0.65,NA,14.31,46.99,7.87,-0.16,NetPhoto,H08,H08_TPC,1,466,15.57211329,Maeq
23.33,28.18,18.09,Inf,0.46,0.22,NA,Inf,Inf,9.36,0.24,NetPhoto,A08,A08_TPC,1,464,13.2751528,Pcyl
13.95,30.12,5.07,49.48,0.41,0.73,NA,19.36,44.41,8.28,-0.32,NetPhoto,C08,C08_TPC,1,467,8.907737636,Fcom
18.75,30.28,-Inf,35.39,-0.13,1.26,NA,5.12,Inf,8.85,-1.39,NetPhoto,E08,E08_TPC,1,461,30.03020351,Peyd
16.64,30.28,-9.79,41.04,0.38,0.93,NA,10.76,50.83,8.08,-0.55,NetPhoto,J08,J08_TPC,1,464,15.59444485,Ahya
18.55,27.44,-6.68,69.82,0.1,0.21,NA,42.38,76.49,7.5,-0.11,NetPhoto,F08,F08_TPC,1,457,24.85885218,Prug
24.97,28.53,-2.59,51.55,NA,0.53,NA,23.01,54.14,8.82,NA,NetPhoto,I08,I08_TPC,1,465,7.194587934,Tfro
20.1,29.19,6.06,42.77,0.59,0.95,NA,13.58,36.72,6.74,-0.36,NetPhoto,G08,G08_TPC,1,461,22.74054416,Elam
29.37,28.59,-23.28,49.23,0.03,0.34,NA,20.64,72.52,9.37,-0.32,GrossPhoto,A01,A01_TPC,1,463,24.72486281,Pcyl
30.82,28.68,15.79,77.87,0.67,0.34,NA,49.19,62.08,8.87,0.33,GrossPhoto,G01,G01_TPC,1,460,20.38296944,Elam
26.99,30.02,-4.81,46.5,0.37,0.54,NA,16.48,51.31,9.2,-0.17,GrossPhoto,C01,C01_TPC,1,462,23.69761104,Fcom
25.28,29.66,8.97,50.98,0.63,0.5,NA,21.32,42.01,7.91,0.13,GrossPhoto,F01,F01_TPC,1,464,14.38535037,Prug
25.23,30.06,12.8,Inf,0.41,0.14,NA,Inf,Inf,8.82,0.28,GrossPhoto,E01,E01_TPC,1,460,33.93822657,Peyd
24.68,29.38,16.12,Inf,0.49,0.36,NA,Inf,Inf,8.6,0.13,GrossPhoto,J01,J01_TPC,1,465,16.22929921,Ahya
22.33,29.66,12.52,Inf,0.41,0.18,NA,Inf,Inf,9.23,0.23,GrossPhoto,I01,I01_TPC,1,468,26.20193602,Tfro
27.49,30.54,-4.81,44.26,0.43,0.51,NA,13.72,49.07,8.39,-0.08,GrossPhoto,B01,B01_TPC,1,462,19.26639142,Mvie
20.1,29.97,-10.09,47.4,0.27,0.42,NA,17.42,57.48,9.5,-0.15,GrossPhoto,H01,H01_TPC,1,461,32.84078989,Maeq
28.5,30.27,-9.84,55.16,0.3,0.25,NA,24.88,65,9.5,0.04,GrossPhoto,D01,D01_TPC,1,460,28.54674986,Prus
32.61,29.22,8.36,61.64,0.39,0.37,NA,32.43,53.28,9.33,0.02,GrossPhoto,G02,G02_TPC,1,461,16.88329491,Elam
26.23,28.8,6.97,Inf,0.19,0.21,NA,Inf,Inf,9.5,-0.02,GrossPhoto,E02,E02_TPC,1,457,34.41995023,Peyd
28.93,29.39,2.66,48.27,0.39,0.58,NA,18.88,45.61,8.52,-0.19,GrossPhoto,F04,F04_TPC,1,463,22.44704366,Prug
31.53,29.39,7.68,68.86,0.37,0.28,NA,39.46,61.17,9.5,0.1,GrossPhoto,D02,D02_TPC,1,464,18.28699298,Prus
29.35,27.67,20.7,Inf,1.46,0.04,6.63,Inf,Inf,9.18,1.41,GrossPhoto,A02,A02_TPC,1,459,19.14835317,Pcyl
25.9,30.52,1.28,58.37,0.35,0.28,NA,27.85,57.08,8.97,0.07,GrossPhoto,I02,I02_TPC,1,460,24.37074807,Tfro
33.43,29.15,13.53,Inf,0.34,0.32,NA,Inf,Inf,9.16,0.02,GrossPhoto,C02,C02_TPC,1,460,24.72805304,Fcom
23.21,27.14,20.31,Inf,1.03,0.39,3.83,Inf,Inf,7.35,0.64,GrossPhoto,J02,J02_TPC,1,464,20.79769841,Ahya
23.49,29.7,9.36,52.86,0.58,0.48,NA,23.16,43.49,8.15,0.11,GrossPhoto,B02,B02_TPC,1,464,18.64110773,Mvie
15.46,28.67,5.04,50.42,0.42,0.57,NA,21.75,45.38,8.36,-0.15,GrossPhoto,H02,H02_TPC,1,455,37.79520607,Maeq
23.36,27.89,19.96,Inf,0.24,0.03,NA,Inf,Inf,9.5,0.21,GrossPhoto,E03,E03_TPC,1,457,37.62293403,Peyd
19.15,29.08,22.05,Inf,0.69,0.05,NA,Inf,Inf,8.7,0.64,GrossPhoto,I03,I03_TPC,1,459,30.56935118,Tfro
31.8,26.41,21.06,Inf,NA,0.16,NA,Inf,Inf,9.5,NA,GrossPhoto,A03,A03_TPC,1,461,19.11326072,Pcyl
20.9,28.48,16.2,Inf,0.58,0.32,NA,Inf,Inf,9.17,0.26,GrossPhoto,H04,H04_TPC,1,458,41.64580512,Maeq
33.74,29.09,16.73,Inf,0.49,0.25,NA,Inf,Inf,8.91,0.25,GrossPhoto,F03,F03_TPC,1,463,17.6489484,Prug
29,27.51,21.4,Inf,1.22,0.13,4.88,Inf,Inf,9.01,1.09,GrossPhoto,J03,J03_TPC,1,461,29.80688791,Ahya
25.09,28.79,18.77,63.99,1.17,0.48,4.53,35.2,45.22,6.75,0.69,GrossPhoto,B03,B03_TPC,1,465,17.06832783,Mvie
46.7,30.63,2.51,41.5,0.61,0.86,NA,10.88,39,6.66,-0.25,GrossPhoto,C03,C03_TPC,1,452,26.45396363,Fcom
38.06,28.12,20.16,Inf,0.88,0.23,3.13,Inf,Inf,8.73,0.65,GrossPhoto,G05,G05_TPC,1,465,17.26931188,Elam
27.02,28.42,16.73,Inf,0.54,0.11,NA,Inf,Inf,9.5,0.43,GrossPhoto,D03,D03_TPC,1,463,17.32354567,Prus
11.13,34,20.76,Inf,0.07,NA,NA,Inf,Inf,9.5,NA,GrossPhoto,I06,I06_TPC,1,464,22.32262496,Tfro
22.07,24.5,17.44,Inf,NA,0.07,NA,Inf,Inf,9.5,NA,GrossPhoto,A06,A06_TPC,1,464,17.41606213,Pcyl
8.55,27.77,-Inf,70.78,-0.19,0.16,NA,43.01,Inf,9.5,-0.36,GrossPhoto,H06,H06_TPC,1,465,24.44093297,Maeq
16.72,28.98,14.93,59.35,0.79,0.48,2.77,30.37,44.42,7.61,0.31,GrossPhoto,G06,G06_TPC,1,462,22.13759203,Elam
24.41,30.18,-8.18,46.37,0.28,0.57,NA,16.19,54.54,9.37,-0.29,GrossPhoto,E06,E06_TPC,1,455,44.66694621,Peyd
24.56,30.87,3.36,61.11,0.41,0.19,NA,30.24,57.75,8.55,0.23,GrossPhoto,D06,D06_TPC,1,462,16.312245,Prus
29.97,29.03,8.69,67.99,0.36,0.33,NA,38.96,59.31,9.5,0.03,GrossPhoto,F06,F06_TPC,1,465,20.08308848,Prug
12.46,26.03,-Inf,60.83,NA,0.18,NA,34.8,Inf,9.5,NA,GrossPhoto,B06,B06_TPC,1,466,13.28791369,Mvie
29.85,29.92,-2.99,45.21,0.39,0.5,NA,15.28,48.2,8.61,-0.11,GrossPhoto,B07,B07_TPC,1,468,13.30067458,Mvie
35.49,29.86,-11.26,49.8,0.24,0.37,NA,19.94,61.06,9.5,-0.13,GrossPhoto,A07,A07_TPC,1,462,13.81749069,Pcyl
32.61,28.07,19.55,Inf,0.64,0.14,NA,Inf,Inf,9.19,0.5,GrossPhoto,E07,E07_TPC,1,462,18.03177515,Peyd
28.39,29.33,6.04,48.74,0.48,0.59,NA,19.4,42.7,8.04,-0.1,GrossPhoto,J07,J07_TPC,1,465,16.49727793,Ahya
40.82,30.23,-8.74,43.51,0.3,0.76,NA,13.28,52.25,8.79,-0.46,GrossPhoto,C07,C07_TPC,1,463,12.85404337,Fcom
40.04,29.84,-23.57,40.19,0.25,0.85,NA,10.35,63.76,8.57,-0.59,GrossPhoto,F07,F07_TPC,1,444,25.48732609,Prug
34.96,29.36,3.83,50.29,0.35,0.57,NA,20.93,46.46,8.75,-0.22,GrossPhoto,D07,D07_TPC,1,465,13.26877235,Prus
29.22,28.52,12.51,73.56,0.45,0.3,NA,45.04,61.05,9.5,0.14,GrossPhoto,I07,I07_TPC,1,466,10.84739316,Tfro
25.04,28.53,14.19,70.33,0.56,0.34,NA,41.79,56.14,8.77,0.22,GrossPhoto,G07,G07_TPC,1,462,20.22026807,Elam
21.63,29.45,-15.06,48.37,0.18,0.44,NA,18.92,63.42,9.5,-0.26,GrossPhoto,H07,H07_TPC,1,468,19.99695246,Maeq
16.55,27.96,-2.79,45.03,0.71,0.54,NA,17.07,47.82,7.39,0.17,GrossPhoto,B08,B08_TPC,1,465,21.71648261,Mvie
17.1,30.18,-8.18,45.7,0.27,0.58,NA,15.52,53.89,9.28,-0.31,GrossPhoto,H08,H08_TPC,1,466,15.57211329,Maeq
33.77,28.61,20.13,Inf,0.48,0.11,NA,Inf,Inf,9.23,0.37,GrossPhoto,A08,A08_TPC,1,464,13.2751528,Pcyl
19.55,31.27,0.29,56.18,0.36,NA,NA,24.91,55.89,8.24,NA,GrossPhoto,C08,C08_TPC,1,467,8.907737636,Fcom
31.21,30.31,-9.59,55.17,0.18,0.4,NA,24.86,64.76,9.5,-0.22,GrossPhoto,E08,E08_TPC,1,461,30.03020351,Peyd
42.96,30.77,-8.92,60.02,0.24,NA,NA,29.26,68.95,9.5,NA,GrossPhoto,D04,D04_TPC,1,460,15.43174348,Prus
22.54,30.62,-4.34,48.33,0.36,0.41,NA,17.72,52.68,8.72,-0.05,GrossPhoto,J08,J08_TPC,1,464,15.59444485,Ahya
29.24,30.34,-Inf,37.88,0.19,1.14,NA,7.55,Inf,8.52,-0.95,GrossPhoto,F08,F08_TPC,1,457,24.85885218,Prug
39.04,29.37,17.14,Inf,0.37,0.11,NA,Inf,Inf,9.43,0.27,GrossPhoto,I08,I08_TPC,1,465,7.194587934,Tfro
31.65,28.9,17.37,66.74,0.96,0.45,3.45,37.84,49.37,7.52,0.5,GrossPhoto,G08,G08_TPC,1,461,22.74054416,Elam
11.67,29.37,21.1,Inf,1.12,0.21,4.18,Inf,Inf,7.34,0.9,GrossPhoto,J06,J06_TPC,1,466,15.5880644,Ahya
