date ,start_time,stop_time,frag_ID,species,sample_ID,FileID_csv,light_dark,run_block,blank ,chamber_channel,temp_c_level,temp_c_value
8/1/25,10:19,10:39,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,DARK,RUN1,1,6,4,28
8/1/25,10:19,10:39,J01,Ahya,J01_TPC,J01_TPC_O2.csv,DARK,RUN1,0,7,4,28
8/1/25,10:19,10:39,I01,Tfro,I01_TPC,I01_TPC_O2.csv,DARK,RUN1,0,8,4,28
8/1/25,10:19,10:39,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,DARK,RUN1,1,9,4,28
8/1/25,10:19,10:39,B01,Mvie,B01_TPC,B01_TPC_O2.csv,DARK,RUN1,0,10,4,28
8/1/25,10:19,10:39,H01,Maeq,H01_TPC,H01_TPC_O2.csv,DARK,RUN1,0,11,4,28
8/1/25,10:19,10:39,D01,Prus,D01_TPC,D01_TPC_O2.csv,DARK,RUN1,0,12,4,28
8/1/25,11:09,11:29,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,LIGHT,RUN1,0,1,5,29
8/1/25,11:09,11:29,G01,Elam,G01_TPC,G01_TPC_O2.csv,LIGHT,RUN1,0,2,5,29
8/1/25,11:09,11:29,C01,Fcom,C01_TPC,C01_TPC_O2.csv,LIGHT,RUN1,0,3,5,29
8/1/25,11:09,11:29,F01,Prug,F01_TPC,F01_TPC_O2.csv,LIGHT,RUN1,0,4,5,29
8/1/25,11:09,11:29,E01,Peyd,E01_TPC,E01_TPC_O2.csv,LIGHT,RUN1,0,5,5,29
8/1/25,11:09,11:29,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,LIGHT,RUN1,1,6,5,29
8/1/25,11:09,11:29,J01,Ahya,J01_TPC,J01_TPC_O2.csv,LIGHT,RUN1,0,7,5,29
8/1/25,11:09,11:29,I01,Tfro,I01_TPC,I01_TPC_O2.csv,LIGHT,RUN1,0,8,5,29
8/1/25,11:09,11:29,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,LIGHT,RUN1,1,9,5,29
8/1/25,11:09,11:29,B01,Mvie,B01_TPC,B01_TPC_O2.csv,LIGHT,RUN1,0,10,5,29
8/1/25,11:09,11:29,H01,Maeq,H01_TPC,H01_TPC_O2.csv,LIGHT,RUN1,0,11,5,29
8/1/25,11:09,11:29,D01,Prus,D01_TPC,D01_TPC_O2.csv,LIGHT,RUN1,0,12,5,29
8/1/25,11:32,11:52,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,DARK,RUN1,0,1,5,29
8/1/25,11:32,11:52,G01,Elam,G01_TPC,G01_TPC_O2.csv,DARK,RUN1,0,2,5,29
8/1/25,11:32,11:52,C01,Fcom,C01_TPC,C01_TPC_O2.csv,DARK,RUN1,0,3,5,29
8/1/25,11:32,11:52,F01,Prug,F01_TPC,F01_TPC_O2.csv,DARK,RUN1,0,4,5,29
8/1/25,11:32,11:52,E01,Peyd,E01_TPC,E01_TPC_O2.csv,DARK,RUN1,0,5,5,29
8/1/25,11:32,11:52,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,DARK,RUN1,1,6,5,29
8/1/25,11:32,11:52,J01,Ahya,J01_TPC,J01_TPC_O2.csv,DARK,RUN1,0,7,5,29
8/1/25,11:32,11:52,I01,Tfro,I01_TPC,I01_TPC_O2.csv,DARK,RUN1,0,8,5,29
8/1/25,11:32,11:52,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,DARK,RUN1,1,9,5,29
8/1/25,11:32,11:52,B01,Mvie,B01_TPC,B01_TPC_O2.csv,DARK,RUN1,0,10,5,29
8/1/25,11:32,11:52,H01,Maeq,H01_TPC,H01_TPC_O2.csv,DARK,RUN1,0,11,5,29
8/1/25,11:32,11:52,D01,Prus,D01_TPC,D01_TPC_O2.csv,DARK,RUN1,0,12,5,29
8/1/25,12:20,12:40,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,LIGHT,RUN1,0,1,6,30
8/1/25,12:20,12:40,G01,Elam,G01_TPC,G01_TPC_O2.csv,LIGHT,RUN1,0,2,6,30
8/1/25,12:20,12:40,C01,Fcom,C01_TPC,C01_TPC_O2.csv,LIGHT,RUN1,0,3,6,30
8/1/25,12:20,12:40,F01,Prug,F01_TPC,F01_TPC_O2.csv,LIGHT,RUN1,0,4,6,30
8/1/25,12:20,12:40,E01,Peyd,E01_TPC,E01_TPC_O2.csv,LIGHT,RUN1,0,5,6,30
8/1/25,12:20,12:40,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,LIGHT,RUN1,1,6,6,30
8/1/25,12:20,12:40,J01,Ahya,J01_TPC,J01_TPC_O2.csv,LIGHT,RUN1,0,7,6,30
8/1/25,12:20,12:40,I01,Tfro,I01_TPC,I01_TPC_O2.csv,LIGHT,RUN1,0,8,6,30
8/1/25,12:20,12:40,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,LIGHT,RUN1,1,9,6,30
8/1/25,12:20,12:40,B01,Mvie,B01_TPC,B01_TPC_O2.csv,LIGHT,RUN1,0,10,6,30
8/1/25,12:20,12:40,H01,Maeq,H01_TPC,H01_TPC_O2.csv,LIGHT,RUN1,0,11,6,30
8/1/25,12:20,12:40,D01,Prus,D01_TPC,D01_TPC_O2.csv,LIGHT,RUN1,0,12,6,30
8/1/25,12:43,13:03,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,DARK,RUN1,0,1,6,30
8/1/25,12:43,13:03,G01,Elam,G01_TPC,G01_TPC_O2.csv,DARK,RUN1,0,2,6,30
8/1/25,12:43,13:03,C01,Fcom,C01_TPC,C01_TPC_O2.csv,DARK,RUN1,0,3,6,30
8/1/25,12:43,13:03,F01,Prug,F01_TPC,F01_TPC_O2.csv,DARK,RUN1,0,4,6,30
8/1/25,12:43,13:03,E01,Peyd,E01_TPC,E01_TPC_O2.csv,DARK,RUN1,0,5,6,30
8/1/25,12:43,13:03,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,DARK,RUN1,1,6,6,30
8/1/25,12:43,13:03,J01,Ahya,J01_TPC,J01_TPC_O2.csv,DARK,RUN1,0,7,6,30
8/1/25,12:43,13:03,I01,Tfro,I01_TPC,I01_TPC_O2.csv,DARK,RUN1,0,8,6,30
