sample_ID,SGD_dil,weight_g,volume_mL,SA_cm2,salinity 
Tr1_Col1_Dil7_Light,0.3,25.9673,25,5121.5,39.8
Tr1_Col1_Dil8_Light,0.4,33.2755,25,8863,39.7
Tr1_Blank_Dil4_Light,0.07,0,0,0,39.9
Tr1_Col1_Dil9_Light,0.5,22.1711,15,5850.5,39.6
Tr1_Col1_Dil1_Dark,0.01,23.3636,20,10243.5,39.9
Tr1_Col1_Dil2_Dark,0.03,31.9253,25,8109,39.9
Tr1_Col1_Dil3_Dark,0.05,28.5748,20,11633,39.9
Tr1_Col1_Dil4_Dark,0.07,31.4045,23,7319,39.9
Tr1_Col1_Dil5_Dark,0.1,22.4579,20,11309.5,39.9
Tr1_Col1_Dil6_Dark,0.2,19.2679,20,12739,39.8
Tr1_Col1_Dil7_Dark,0.3,25.9673,25,5121.5,39.8
Tr1_Col1_Dil8_Dark,0.4,33.2755,25,8863,39.7
Tr1_Blank_Dil4_Dark,0.07,0,0,0,39.9
Tr1_Col1_Dil9_Dark,0.5,22.1711,15,5850.5,39.6
Tr1_Col1_Dil10_Light,1,22.8304,15,8476,39.4
Tr_Col1_Dil11_Light,1.5,27.7783,20,8554.5,39.2
Tr1_Col1_Dil12_Light,2,26.577,25,8674.5,38.9
Tr1_Col1_Dil13_Light,2.5,42.8631,25,7004.5,38.8
Tr1_Col1_Dil14_Light,3,18.476,12,6768.5,38
Tr1_Col1_Dil15_Light,3.5,30.1118,13,10526.5,37.7
Tr1_Col1_Dil16_Light,4,31.2756,25,6197,37.2
Tr1_Col1_Dil17_Light,5,28.926,25,5167,36.4
Tr1_Col1_Dil10_Dark,1,22.8304,15,8476,39.4
Tr1_Col1_Dil11_Dark,1.5,27.7783,20,8554.5,39.2
Tr1_Col1_Dil12_Dark,2,26.577,25,8674.5,38.9
Tr1_Col1_Dil13_Dark,2.5,42.8631,25,7004.5,38.8
Tr1_Col1_Dil14_Dark,3,18.476,12,6768.5,38
Tr1_Col1_Dil15_Dark,3.5,30.1118,13,10526.5,37.7
Tr1_Col1_Dil16_Dark,4,31.2756,25,6197,37.2
Tr1_Col1_Dil17_Dark,5,28.926,25,5167,36.4
Tr2_Blank_Dil1_Light,0.01,0,0,0,39.9
Tr2_Blank_Dil2_Light,0.03,0,0,0,39.9
Tr2_Blank_Dil3_Light,0.05,0,0,0,39.9
Tr2_Blank_Dil4_Light,0.07,0,0,0,39.9
Tr2_Blank_Dil5_Light,0.1,0,0,0,39.9
Tr2_Blank_Dil6_Light,0.2,0,0,0,39.8
Tr2_Blank_Dil7_Light,0.3,0,0,0,39.8
Tr2_Blank_Dil8_Light,0.4,0,0,0,39.7
Tr2_Blank_Dil9_Light,0.5,0,0,0,39.6
Tr2_Blank_Dil1_Dark,0.01,0,0,0,39.9
Tr2_Blank_Dil2_Dark,0.03,0,0,0,39.9
Tr2_Blank_Dil3_Dark,0.05,0,0,0,39.9
Tr2_Blank_Dil4_Dark,0.07,0,0,0,39.9
Tr2_Blank_Dil5_Dark,0.1,0,0,0,39.9
Tr2_Blank_Dil6_Dark,0.2,0,0,0,39.8
Tr2_Blank_Dil7_Dark,0.3,0,0,0,39.8
Tr2_Blank_Dil8_Dark,0.4,0,0,0,39.7
Tr2_Blank_Dil9_Dark,0.5,0,0,0,39.6
Tr2_Blank_Dil10_Light,1,0,0,0,39.4
Tr2_Blank_Dil11_Light,1.5,0,0,0,39.2
Tr2_Blank_Dil12_Light,2,0,0,0,38.9
Tr2_Blank_Dil13_Light,2.5,0,0,0,38.8
Tr2_Blank_Dil14_Light,3,0,0,0,38
Tr2_Blank_Dil15_Light,3.5,0,0,0,37.7
Tr2_Blank_Dil16_Light,4,0,0,0,37.2
Tr2_Blank_Dil17_Light,5,0,0,0,36.4
Tr2_Blank_Dil10_Dark,1,0,0,0,39.4
Tr2_Blank_Dil11_Dark,1.5,0,0,0,39.2
Tr2_Blank_Dil12_Dark,2,0,0,0,38.9
Tr2_Blank_Dil13_Dark,2.5,0,0,0,38.8
Tr2_Blank_Dil14_Dark,3,0,0,0,38
Tr2_Blank_Dil15_Dark,3.5,0,0,0,37.7
Tr2_Blank_Dil16_Dark,4,0,0,0,37.2
Tr2_Blank_Dil17_Dark,5,0,0,0,36.4
Tr2_Col2_Dil1_Light,0.01,30.25,25,7298.5,39.9
Tr2_Col2_Dil2_Light,0.03,25.0966,13,9876.5,39.9
Tr2_Col2_Dil3_Light,0.05,29.207,20,11110,39.9
Tr2_Col2_Dil4_Light,0.07,23.1429,20,9723,39.9
Tr2_Col2_Dil5_Light,0.1,36.0037,25,7650,39.9
Tr2_Col2_Dil6_Light,0.2,34.7961,15,5967.5,39.8
Tr2_Col2_Dil7_Light,0.3,17.3764,15,7854.5,39.8
Tr2_Col2_Dil8_Light,0.4,21.7099,20,10206.5,39.7
Tr2_Col2_Dil9_Light,0.5,18.9418,13,6408.5,39.6
Tr2_Col2_Dil1_Dark,0.01,30.25,25,7298.5,39.9
Tr2_Col2_Dil2_Dark,0.03,25.0966,13,9876.5,39.9
Tr2_Col2_Dil3_Dark,0.05,29.207,20,11110,39.9
Tr2_Col2_Dil4_Dark,0.07,23.1429,20,9723,39.9
Tr2_Col2_Dil5_Dark,0.1,36.0037,25,7650,39.9
Tr2_Col2_Dil6_Dark,0.2,34.7961,15,5967.5,39.8
Tr2_Col2_Dil7_Dark,0.3,17.3764,15,7854.5,39.8
Tr2_Col2_Dil8_Dark,0.4,21.7099,20,10206.5,39.7
Tr2_Col2_Dil9_Dark,0.5,18.9418,13,6408.5,39.6
Tr2_Col2_Dil10_Light,1,27.968,20,7928,39.4
Tr2_Col2_Dil11_Light,1.5,30.1163,13,8161.5,39.2
Tr2_Col2_Dil12_Light,2,26.1574,13,9991,38.9
Tr2_Col2_Dil13_Light,2.5,17.5801,20,15054.5,38.8
Tr2_Col2_Dil14_Light,3,22.6237,25,4320,38
Tr2_Col2_Dil15_Light,3.5,31.0848,20,9611,37.7
Tr2_Col2_Dil16_Light,4,24.339,13,11890,37.2
Tr2_Col2_Dil17_Light,5,22.7382,20,6408.5,36.4
Tr2_Col2_Dil10_Dark,1,27.968,20,7928,39.4
Tr2_Col2_Dil11_Dark,1.5,30.1163,13,8161.5,39.2
Tr2_Col2_Dil12_Dark,2,26.1574,13,9991,38.9
Tr2_Col2_Dil13_Dark,2.5,17.5801,20,15054.5,38.8
Tr2_Col2_Dil14_Dark,3,22.6237,25,4320,38
Tr2_Col2_Dil15_Dark,3.5,31.0848,20,9611,37.7
Tr2_Col2_Dil16_Dark,4,24.339,13,11890,37.2
Tr2_Col2_Dil17_Dark,5,22.7382,20,11891,36.4
Tr1_Blank_Dil0_Light,0,0,0,0,39.9
Tr1_Blank_Dil0_Dark,0,0,0,0,39.9
Tr2_Blank_Dil0_Light,0,0,0,0,39.9
Tr2_Blank_Dil0_Dark,0,0,0,0,39.9
Tr1_Col1_Dil0_Light,0,25.368,15,9756,39.9
Tr1_Col1_Dil0_Dark,0,25.368,15,9756,39.9
Tr2_Col2_Dil0_Light,0,38.903,25,16806.5,39.9
Tr2_Col2_Dil0_Dark,0,38.903,25,16806.5,39.9
