"","comparison","Term","Df","SumOfSqs","R2","F","Pr(>F)"
"Model32","Peyd_vs_Maeq","Model",1,17.4661845013458,0.38147567013791,9.2512691511173,0.002
"Residual32","Peyd_vs_Maeq","Residual",15,28.3196568211991,0.61852432986209,NA,NA
"Total32","Peyd_vs_Maeq","Total",16,45.7858413225449,1,NA,NA
"Model33","Peyd_vs_Tfro","Model",1,60.9296331901632,0.662125125992482,29.3951330919808,0.001
"Residual33","Peyd_vs_Tfro","Residual",15,31.0916944989706,0.337874874007518,NA,NA
"Total33","Peyd_vs_Tfro","Total",16,92.0213276891339,1,NA,NA
"Model34","Peyd_vs_Ahya","Model",1,13.5942659113724,0.430565445489476,11.3419209129199,0.001
"Residual34","Peyd_vs_Ahya","Residual",15,17.9787877411754,0.569434554510523,NA,NA
"Total34","Peyd_vs_Ahya","Total",16,31.5730536525479,1,NA,NA
"Model35","Prug_vs_Elam","Model",1,8.70270246818863,0.0972994473854993,1.94016725465208,0.141
"Residual35","Prug_vs_Elam","Residual",18,80.7397630548541,0.9027005526145,NA,NA
"Total35","Prug_vs_Elam","Total",19,89.4424655230428,1,NA,NA
"Model36","Prug_vs_Maeq","Model",1,15.3477522092097,0.157740427283608,3.37108390700476,0.028
"Residual36","Prug_vs_Maeq","Residual",18,81.9497667179795,0.842259572716393,NA,NA
"Total36","Prug_vs_Maeq","Total",19,97.2975189271892,1,NA,NA
"Model37","Prug_vs_Tfro","Model",1,23.1800251723408,0.214825135636027,4.92482963598282,0.01
"Residual37","Prug_vs_Tfro","Residual",18,84.721804395751,0.785174864363973,NA,NA
"Total37","Prug_vs_Tfro","Total",19,107.901829568092,1,NA,NA
"Model38","Prug_vs_Ahya","Model",1,16.4790556018,0.187075019860521,4.14226458745507,0.009
"Residual38","Prug_vs_Ahya","Residual",18,71.6088976379559,0.812924980139479,NA,NA
"Total38","Prug_vs_Ahya","Total",19,88.0879532397559,1,NA,NA
"Model39","Elam_vs_Maeq","Model",1,1.24328276244278,0.0315987769231853,0.58733711922648,0.635
"Residual39","Elam_vs_Maeq","Residual",18,38.1026313362302,0.968401223076815,NA,NA
"Total39","Elam_vs_Maeq","Total",19,39.345914098673,1,NA,NA
"Model40","Elam_vs_Tfro","Model",1,20.0967183029192,0.329609004933071,8.85000265882594,0.001
"Residual40","Elam_vs_Tfro","Residual",18,40.8746690140017,0.670390995066929,NA,NA
"Total40","Elam_vs_Tfro","Total",19,60.971387316921,1,NA,NA
"Model41","Elam_vs_Ahya","Model",1,1.87392636561498,0.0632320844481796,1.21500480660332,0.301
"Residual41","Elam_vs_Ahya","Residual",18,27.7617622562066,0.93676791555182,NA,NA
"Total41","Elam_vs_Ahya","Total",19,29.6356886218216,1,NA,NA
"Model42","Maeq_vs_Tfro","Model",1,20.5017304046524,0.327574830876021,8.76877789011083,0.001
"Residual42","Maeq_vs_Tfro","Residual",18,42.0846726771271,0.672425169123979,NA,NA
"Total42","Maeq_vs_Tfro","Total",19,62.5864030817796,1,NA,NA
"Model43","Maeq_vs_Ahya","Model",1,0.941631071589982,0.0314785736931097,0.58503024412847,0.63
"Residual43","Maeq_vs_Ahya","Residual",18,28.971765919332,0.96852142630689,NA,NA
"Total43","Maeq_vs_Ahya","Total",19,29.913396990922,1,NA,NA
"Model44","Tfro_vs_Ahya","Model",1,26.6753561849933,0.456619990504695,15.1259885999828,0.001
"Residual44","Tfro_vs_Ahya","Residual",18,31.7438035971035,0.543380009495305,NA,NA
"Total44","Tfro_vs_Ahya","Total",19,58.4191597820969,1,NA,NA
