"","comparison","Term","Df","SumOfSqs","R2","F","Pr(>F)"
"Total18","Prug_vs_Ahya","Total",9,25.7693198872889,1,NA,NA
"Model19","Prug_vs_Tfro","Model",1,4.33574061017747,0.17720080447583,1.72290692980508,0.215
"Residual19","Prug_vs_Tfro","Residual",8,20.1322104411895,0.82279919552417,NA,NA
"Total19","Prug_vs_Tfro","Total",9,24.467951051367,1,NA,NA
"Model20","Prug_vs_Mvie","Model",1,2.8957654059232,0.234858522300026,2.14863486559649,0.087
"Residual20","Prug_vs_Mvie","Residual",7,9.43406353775009,0.765141477699974,NA,NA
"Total20","Prug_vs_Mvie","Total",8,12.3298289436733,1,NA,NA
"Model21","Prug_vs_Maeq","Model",1,11.5229920581749,0.474737893215375,7.2304913997542,0.009
"Residual21","Prug_vs_Maeq","Residual",8,12.7493321503062,0.525262106784625,NA,NA
"Total21","Prug_vs_Maeq","Total",9,24.2723242084811,1,NA,NA
"Model22","Prug_vs_Prus","Model",1,3.49741380771467,0.151346138593445,1.2483569784249,0.319
"Residual22","Prug_vs_Prus","Residual",7,19.6112947475108,0.848653861406556,NA,NA
"Total22","Prug_vs_Prus","Total",8,23.1087085552254,1,NA,NA
"Model23","Prug_vs_Pcyl","Model",1,5.60631693580515,0.152979488095935,1.26426267324307,0.301
"Residual23","Prug_vs_Pcyl","Residual",7,31.041190554149,0.847020511904065,NA,NA
"Total23","Prug_vs_Pcyl","Total",8,36.6475074899542,1,NA,NA
"Model24","Peyd_vs_Ahya","Model",1,11.6444001967401,0.326074032365528,3.87074008749146,0.007
"Residual24","Peyd_vs_Ahya","Residual",8,24.0665091089319,0.673925967634472,NA,NA
"Total24","Peyd_vs_Ahya","Total",9,35.710909305672,1,NA,NA
"Model25","Peyd_vs_Tfro","Model",1,3.387306940226,0.119846998495585,1.08932877161798,0.411
"Residual25","Peyd_vs_Tfro","Residual",8,24.8762873320225,0.880153001504415,NA,NA
"Total25","Peyd_vs_Tfro","Total",9,28.2635942722485,1,NA,NA
"Model26","Peyd_vs_Mvie","Model",1,5.3763103353017,0.274940493098954,2.65437999691705,0.057
"Residual26","Peyd_vs_Mvie","Residual",7,14.1781404285831,0.725059506901046,NA,NA
"Total26","Peyd_vs_Mvie","Total",8,19.5544507638848,1,NA,NA
"Model27","Peyd_vs_Maeq","Model",1,6.64739503309125,0.275359305044323,3.03995408440223,0.045
"Residual27","Peyd_vs_Maeq","Residual",8,17.4934090411392,0.724640694955678,NA,NA
"Total27","Peyd_vs_Maeq","Total",9,24.1408040742305,1,NA,NA
"Model28","Peyd_vs_Prus","Model",1,2.1498227535269,0.0811094882664308,0.617882555772475,0.619
"Residual28","Peyd_vs_Prus","Residual",7,24.3553716383437,0.918890511733569,NA,NA
"Total28","Peyd_vs_Prus","Total",8,26.5051943918706,1,NA,NA
"Model29","Peyd_vs_Pcyl","Model",1,5.15380730060807,0.125889686873376,1.00814255921721,0.353
"Residual29","Peyd_vs_Pcyl","Residual",7,35.785267444982,0.874110313126624,NA,NA
"Total29","Peyd_vs_Pcyl","Total",8,40.9390747455901,1,NA,NA
"Model30","Ahya_vs_Tfro","Model",1,6.42213109578342,0.18324677307104,1.79488018685946,0.197
"Residual30","Ahya_vs_Tfro","Residual",8,28.6242219076266,0.81675322692896,NA,NA
"Total30","Ahya_vs_Tfro","Total",9,35.04635300341,1,NA,NA
"Model31","Ahya_vs_Mvie","Model",1,4.1916824543137,0.189516611807435,1.63682106503193,0.224
"Residual31","Ahya_vs_Mvie","Residual",7,17.9260750041871,0.810483388192565,NA,NA
"Total31","Ahya_vs_Mvie","Total",8,22.1177574585008,1,NA,NA
"Model32","Ahya_vs_Maeq","Model",1,8.33151358149744,0.281728394576398,3.13784805022605,0.02
"Residual32","Ahya_vs_Maeq","Residual",8,21.2413436167433,0.718271605423601,NA,NA
"Total32","Ahya_vs_Maeq","Total",9,29.5728571982407,1,NA,NA
"Model33","Ahya_vs_Prus","Model",1,13.839764161332,0.329965451682545,3.44722248662837,0.034
"Residual33","Ahya_vs_Prus","Residual",7,28.1033062139478,0.670034548317455,NA,NA
"Total33","Ahya_vs_Prus","Total",8,41.9430703752798,1,NA,NA
"Model34","Ahya_vs_Pcyl","Model",1,16.67431417306,0.296656306882761,2.95246003980756,0.009
"Residual34","Ahya_vs_Pcyl","Residual",7,39.533202020586,0.70334369311724,NA,NA
"Total34","Ahya_vs_Pcyl","Total",8,56.207516193646,1,NA,NA
"Model35","Tfro_vs_Mvie","Model",1,2.84362281224615,0.131774414125621,1.06242077391717,0.338
"Residual35","Tfro_vs_Mvie","Residual",7,18.7358532272778,0.868225585874379,NA,NA
"Total35","Tfro_vs_Mvie","Total",8,21.5794760395239,1,NA,NA
"Model36","Tfro_vs_Maeq","Model",1,4.64356591842873,0.173950935874552,1.68465475893945,0.169
"Residual36","Tfro_vs_Maeq","Residual",8,22.0511218398339,0.826049064125448,NA,NA
"Total36","Tfro_vs_Maeq","Total",9,26.6946877582627,1,NA,NA
"Model37","Tfro_vs_Prus","Model",1,4.15110956218521,0.125546975749134,1.0050040492419,0.369
"Residual37","Tfro_vs_Prus","Residual",7,28.9130844370385,0.874453024250866,NA,NA
"Total37","Tfro_vs_Prus","Total",8,33.0641939992237,1,NA,NA
"Model38","Tfro_vs_Pcyl","Model",1,14.0057215862253,0.257701124675614,2.43016382308404,0.021
"Residual38","Tfro_vs_Pcyl","Residual",7,40.3429802436767,0.742298875324386,NA,NA
"Total38","Tfro_vs_Pcyl","Total",8,54.348701829902,1,NA,NA
"Model39","Mvie_vs_Maeq","Model",1,8.4779555991776,0.427511738996318,5.22732495462467,0.021
"Residual39","Mvie_vs_Maeq","Residual",7,11.3529749363945,0.572488261003682,NA,NA
"Total39","Mvie_vs_Maeq","Total",8,19.8309305355721,1,NA,NA
"Model40","Mvie_vs_Prus","Model",1,7.75455294979626,0.298602429445217,2.55434956133964,0.056
"Residual40","Mvie_vs_Prus","Residual",6,18.214937533599,0.701397570554783,NA,NA
"Total40","Mvie_vs_Prus","Total",7,25.9694904833953,1,NA,NA
"Model41","Mvie_vs_Pcyl","Model",1,10.3103662913142,0.25804817361424,2.08677839534079,0.066
"Residual41","Mvie_vs_Pcyl","Residual",6,29.6448333402372,0.74195182638576,NA,NA
"Total41","Mvie_vs_Pcyl","Total",7,39.9551996315515,1,NA,NA
"Model42","Maeq_vs_Prus","Model",1,11.4167145034043,0.346518408346516,3.7118549158946,0.05
"Residual42","Maeq_vs_Prus","Residual",7,21.5302061461551,0.653481591653484,NA,NA
"Total42","Maeq_vs_Prus","Total",8,32.9469206495594,1,NA,NA
"Model43","Maeq_vs_Pcyl","Model",1,16.3576624295453,0.331678911937931,3.47400736717422,0.004
"Residual43","Maeq_vs_Pcyl","Residual",7,32.9601019527934,0.668321088062069,NA,NA
"Total43","Maeq_vs_Pcyl","Total",8,49.3177643823387,1,NA,NA
"Model44","Prus_vs_Pcyl","Model",1,8.61490867960758,0.177858113445082,1.2980103533494,0.233
"Residual44","Prus_vs_Pcyl","Residual",6,39.8220645499979,0.822141886554918,NA,NA
"Total44","Prus_vs_Pcyl","Total",7,48.4369732296055,1,NA,NA
